REGISTRY_ID,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
110006644328,TOWN OF ROBBINS,13,12.0,http://echo.epa.gov/detailed-facility-report?fid=110006644328,35.44385,-79.58573
110040028332,SILER CITY WWTP,13,5.0,http://echo.epa.gov/detailed-facility-report?fid=110040028332,35.760856,-79.46220100000001
110040022132,MOORE COUNTY WPCF,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110040022132,35.070109,-79.465168
110022557712,WELLONS CONSTRUCTION INCORPORATED,13,,http://echo.epa.gov/detailed-facility-report?fid=110022557712,35.32241,-78.63095
110045404861,A & H MINE,13,,http://echo.epa.gov/detailed-facility-report?fid=110045404861,35.0353,-79.1714
110038111156,RANDLEMAN WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110038111156,35.808186,-79.782484
110001504462,GARNERS SEPTIC TANK INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110001504462,35.39857,-79.29003
110006708544,HOLLY SPRINGS WWTP,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110006708544,35.645876,-78.850583
110018686885,CP&L - HARRIS NUCLEAR PLANT,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110018686885,35.632366,-78.953861
110006367387,SPRING LAKE WWTP,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006367387,35.196071999999994,-78.965508
110064637567,APEX WATER RECLAMATION FACILITY,12,,http://echo.epa.gov/detailed-facility-report?fid=110064637567,35.71007,-78.83293
110001502598,TOWN OF CARY - NORTH CARY WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110001502598,35.8357,-78.7769
110064603825,WESTERN WAKE REGIONAL WRF,12,,http://echo.epa.gov/detailed-facility-report?fid=110064603825,35.671033,-78.93996800000001
110007670332,CITY OF SANFORD,12,,http://echo.epa.gov/detailed-facility-report?fid=110007670332,35.546513,-79.21991899999999
110022439798,DAK AMERICAS LLC,11,8.0,http://echo.epa.gov/detailed-facility-report?fid=110022439798,34.98305,-78.78721999999999
110000734180,PWC/FAYETTEVILLE,11,,http://echo.epa.gov/detailed-facility-report?fid=110000734180,34.964309,-78.832922
110021999729,BONLEE ELEMENTARY SCHOOL,10,13.0,http://echo.epa.gov/detailed-facility-report?fid=110021999729,35.6433,-79.4236
110006709008,CRYSTAL LAKE WWTP,10,9.0,http://echo.epa.gov/detailed-facility-report?fid=110006709008,35.240435999999995,-79.306694
110009844712,CENTRAL CHATHAM HIGH SCHOOL,10,6.0,http://echo.epa.gov/detailed-facility-report?fid=110009844712,35.65265,-79.33176999999999
110006709874,CAROLINA TRACE WWTP,10,5.0,http://echo.epa.gov/detailed-facility-report?fid=110006709874,35.416267,-79.088078
