,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL
70311,SAFETY-KLEEN SYSTEMS DENTON RECYCLE CENTER,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000459995
24259,ACME BRICK CO - DENTON PLANT,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000459968
55107,AMERICAN AIRLINES ALLIANCE MAINTENANCE BASE,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007203356
65866,UNITED COPPER INDUSTRIES,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110002133030
79139,SPENCER STATION GENERATING CO. L.P.,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110012182770
2016,ENERGY TRANSFER HOG BRANCH COMP. STATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110040415057
3886,FOAM FABRICATORS KELLER,0,,http://echo.epa.gov/detailed-facility-report?fid=110033843624
5007,TEXAS AERO ENGINE SERVICES,0,,http://echo.epa.gov/detailed-facility-report?fid=110005181061
10113,FIRESTONE,0,,http://echo.epa.gov/detailed-facility-report?fid=110015632840
13289,KINDER MORGAN GAS TREATMENT,0,,http://echo.epa.gov/detailed-facility-report?fid=110044303394
13304,UNIVERSITY CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110001874543
14719,DFW RECYCLING AND DISPOSAL FACILITY,0,,http://echo.epa.gov/detailed-facility-report?fid=110007195766
17842,CROWN CLEANERS & LAUNDRY,0,,http://echo.epa.gov/detailed-facility-report?fid=110007205176
20240,COMET ONE 1 HR CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110001874561
20832,MATERIALS LIQUID FOOD CARTON MFG DENTON FACILITY,0,,http://echo.epa.gov/detailed-facility-report?fid=110000896184
22445,O'REILLY AUTO PARTS,0,,http://echo.epa.gov/detailed-facility-report?fid=110064288774
22839,RAYTHEON TI SYSTEMS INCORPORATED,0,,http://echo.epa.gov/detailed-facility-report?fid=110064118093
23049,CAMP CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110001874507
25378,KWIK CAR,0,,http://echo.epa.gov/detailed-facility-report?fid=110015632886
28646,AMERICAN CLEANERS II,0,,http://echo.epa.gov/detailed-facility-report?fid=110001874525
