,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL
110430,TOWN OF PONDER WWTP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110009770453
7371,CITY OF KRUM WWTF,13,,http://echo.epa.gov/detailed-facility-report?fid=110009746061
106361,SHALE CREEK WWTP,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110009770756
33432,CREEKSIDE MHP,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110011168501
91733,DENTON CREEK REGIONAL WWTF,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110013349894
21869,CITY OF SANGER WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110006801292
74826,CITY OF DENTON,12,,http://echo.epa.gov/detailed-facility-report?fid=110009748167
54402,PREMIUM WATERS REVERSE OSMOSIS PLANT,11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110064580724
30781,TOWN OF FLOWER MOUND,11,,http://echo.epa.gov/detailed-facility-report?fid=110001162768
48953,TOWN OF LITTLE ELM WWTF,11,,http://echo.epa.gov/detailed-facility-report?fid=110009746365
49258,NTMWD STEWART CREEK WEST WASTEWATER TREATMENT PLANT,11,,http://echo.epa.gov/detailed-facility-report?fid=110024536000
85035,PRAIRIE CREEK WWTP,11,,http://echo.epa.gov/detailed-facility-report?fid=110064611157
90992,REDI-MIX CONCRETE HALTOM CITY,11,,http://echo.epa.gov/detailed-facility-report?fid=110031275581
112076,RIVERBEND REG WATER RECLAMATION FACILITY,11,,http://echo.epa.gov/detailed-facility-report?fid=110009770435
14647,STEWART CREEK WASTEWATER TREATMENT PLANT,10,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000504721
92007,TROPHY CLUB MUD 1,10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000737766
41012,ROCKY POINT MOBILE HOME PARK,10,,http://echo.epa.gov/detailed-facility-report?fid=110010920254
53826,RINKER MATERIALS CONCRETE PIPE DALLAS,10,,http://echo.epa.gov/detailed-facility-report?fid=110064630430
85764,TOWN OF LAKEWOOD VILLAGE,10,,http://echo.epa.gov/detailed-facility-report?fid=110009780861
93627,CITY OF PILOT POINT WWTP,10,,http://echo.epa.gov/detailed-facility-report?fid=110009781664
