,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL
111343,MOMENTIVE PERFORMANCE MATERIALS SILICONES,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000324435
31217,W W PATENAUDE SONS INC,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110019167195
115460,ESPEY MANUFACTURING & ELECTRIC CORP,12,,http://echo.epa.gov/detailed-facility-report?fid=110000807011
140456,SAFETY-KLEEN COHOES SERVICE CENTER,12,,http://echo.epa.gov/detailed-facility-report?fid=110019416540
142058,ENVIRONMENTAL PRODUCTS & SERVICES OF VERMONT INC,9,,http://echo.epa.gov/detailed-facility-report?fid=110018888612
66038,NORLITE CORP,7,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000324159
82439,VAN AUKEN TRUCKING,4,,http://echo.epa.gov/detailed-facility-report?fid=110069463084
107162,CASCADE TISSUE GROUP NY INC,4,,http://echo.epa.gov/detailed-facility-report?fid=110031020339
56794,SUNY AT ALBANY,3,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000808163
60705,AUTERRA INC,3,2.0,http://echo.epa.gov/detailed-facility-report?fid=110018884947
99187,ARTCO CHEMICAL,3,2.0,http://echo.epa.gov/detailed-facility-report?fid=110004522286
146719,POWER AND COMPOSITE TECHNOLOGIES LLC,3,2.0,http://echo.epa.gov/detailed-facility-report?fid=110004554697
66347,AMRI RENSSELAER,2,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000324373
29180,GENERAL ELECTRIC STEAM TURBINE GENERATOR GLOBAL,2,,http://echo.epa.gov/detailed-facility-report?fid=110000616352
32993,ALBANY MEDICAL CENTER,2,,http://echo.epa.gov/detailed-facility-report?fid=110000807468
38498,CARMAX #6049,2,,http://echo.epa.gov/detailed-facility-report?fid=110070122174
48598,BELLEVUE MATERNITY HOSPITAL INC,2,,http://echo.epa.gov/detailed-facility-report?fid=110004372624
99167,PORT OF COEYMANS MARINE TERMINAL,2,,http://echo.epa.gov/detailed-facility-report?fid=110040063418
113231,GE HEALTHCARE DIGITAL X-RAY DETECTOR FACILITY,2,,http://echo.epa.gov/detailed-facility-report?fid=110038906501
124414,TITAN ROOFING INC,2,,http://echo.epa.gov/detailed-facility-report?fid=110004351308
