,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL
60394,BARONI RECYCLING NORTH INC,13,4.0,http://echo.epa.gov/detailed-facility-report?fid=110055638145
94283,LAFARGE BUILDING MATERIALS INC,13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110056973182
137950,EAST GREENBUSH (T) WWTP,13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000762372
142696,SARATOGA CO SEWER DIST #1 WWTP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110057441415
49659,FONDA - FULTONVILLE JOINT WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000735116
111343,MOMENTIVE PERFORMANCE MATERIALS SILICONES,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000324435
2444,NORAMPAC SCHENECTADY INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110007997524
5546,ABC AUTO RECYCLING,13,,http://echo.epa.gov/detailed-facility-report?fid=110069995538
27489,CARGILL FEED AND NUTRITION ALBANY,13,,http://echo.epa.gov/detailed-facility-report?fid=110030919825
35385,WATERFORD WASTE HAULER,13,,http://echo.epa.gov/detailed-facility-report?fid=110019131982
36622,CALLANAN INDUSTRIES WATERVLIET FACILITY,13,,http://echo.epa.gov/detailed-facility-report?fid=110030922312
44808,ROLLING HILLS M.H.P,13,,http://echo.epa.gov/detailed-facility-report?fid=110028153664
60644,RENSSELAER IRON & STEEL INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110015713021
76271,REGENERON PHARMACUETICALS,13,,http://echo.epa.gov/detailed-facility-report?fid=110019584145
84285,ARDENT MILLS LLC,13,,http://echo.epa.gov/detailed-facility-report?fid=110008054461
85454,MECHANICVILLE MS4 STORMSEWERS,13,,http://echo.epa.gov/detailed-facility-report?fid=110064869405
92964,SOUTH ALBANY SD,13,,http://echo.epa.gov/detailed-facility-report?fid=110039937094
94888,CLIFTON PARK TRANSFER STATION & YARD WASTE COMPOSTING FACILITY,13,,http://echo.epa.gov/detailed-facility-report?fid=110019330035
107162,CASCADE TISSUE GROUP NY INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110031020339
114876,CALLANAN INDUSTRIES DUNHAN DRIVE FACILITY,13,,http://echo.epa.gov/detailed-facility-report?fid=110064419936
