,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL
16249,FLUID HANDLING LLC,13,,http://echo.epa.gov/detailed-facility-report?fid=110000772673
22231,MWRDGC TERRENCE J O'BRIEN WTR RECLAMATION PLANT,13,,http://echo.epa.gov/detailed-facility-report?fid=110039909338
37400,"SKOKIE, VILLAGE OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110017704377
63706,NORTHFIELD TOWNSHIP,13,,http://echo.epa.gov/detailed-facility-report?fid=110018425202
64425,JOHN CRANE INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110000429652
75790,WINNETKA ELECTRIC PLANT,13,,http://echo.epa.gov/detailed-facility-report?fid=110018172528
78821,"LINCOLNWOOD CSOS, VILLAGE OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110014449757
85134,"WINNETKA, VILLAGE OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110011686577
91597,"NILES, VILLAGE OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110017705081
31355,VILLAGE OF GOLF CSOS,11,,http://echo.epa.gov/detailed-facility-report?fid=110015661586
40157,SURFACE DISCHARGING SYSTEM 5,11,,http://echo.epa.gov/detailed-facility-report?fid=110063615734
45176,BARNEY II FOUNDATION,11,,http://echo.epa.gov/detailed-facility-report?fid=110001229910
52820,"ARLINGTON HEIGHTS CSOS, VILLAGE OF",4,,http://echo.epa.gov/detailed-facility-report?fid=110014449392
85593,"GOLF, VILLAGE OF",4,,http://echo.epa.gov/detailed-facility-report?fid=110017706936
18541,"MORTON GROVE CSOS, VILLAGE OF",1,,http://echo.epa.gov/detailed-facility-report?fid=110005915812
38401,SHELL PIPELINE COMPANY LP,1,,http://echo.epa.gov/detailed-facility-report?fid=110000428680
45362,"MOUNT PROSPECT, VILLAGE OF",1,,http://echo.epa.gov/detailed-facility-report?fid=110017705018
78343,UNITED PARCEL SERVICE - NORTHBROOK,1,,http://echo.epa.gov/detailed-facility-report?fid=110018101597
1711,"WILMETTE, VILLAGE OF",0,,http://echo.epa.gov/detailed-facility-report?fid=110017703591
3007,RIVERS CASINO,0,,http://echo.epa.gov/detailed-facility-report?fid=110044898046
