,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL
33141,MORTON GROVE PHARMACEUTICALS INCORPORATED,12,,http://echo.epa.gov/detailed-facility-report?fid=110000791466
37647,CHICAGO TRANSIT AUTHORITY,12,,http://echo.epa.gov/detailed-facility-report?fid=110000888843
90340,SPECIALTY PRINTING CO,6,,http://echo.epa.gov/detailed-facility-report?fid=110001225488
54530,FEDERAL-MOGUL MOTORPARTS,2,,http://echo.epa.gov/detailed-facility-report?fid=110018269112
82,WR PROPERTY MGT CO LLC,0,,http://echo.epa.gov/detailed-facility-report?fid=110044807634
124,BOSWORTH HJ,0,,http://echo.epa.gov/detailed-facility-report?fid=110005812950
126,FOOD 4 LESS 558,0,,http://echo.epa.gov/detailed-facility-report?fid=110038507121
308,SATE-LITE MANUFACTURING CO,0,,http://echo.epa.gov/detailed-facility-report?fid=110020519045
554,PEP BOYS THE 825,0,,http://echo.epa.gov/detailed-facility-report?fid=110005807010
583,CRO-MAT CO,0,,http://echo.epa.gov/detailed-facility-report?fid=110018284729
585,MASTER CARE CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110005795489
613,O BRIEN PATRICK,0,,http://echo.epa.gov/detailed-facility-report?fid=110012271184
625,JIFFY LUBE STORE 1385,0,,http://echo.epa.gov/detailed-facility-report?fid=110005932330
732,CHESTNUT BODYSHOP,0,,http://echo.epa.gov/detailed-facility-report?fid=110005956162
941,TOP CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110005866759
987,RAVENSWOOD STUDIO INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110001819541
1127,FEL-PRO CHEMICAL PRODUCTS L.P.,0,,http://echo.epa.gov/detailed-facility-report?fid=110000768679
1416,MAYFAIR APTS,0,,http://echo.epa.gov/detailed-facility-report?fid=110003045749
1618,JEWEL OSCO 3425,0,,http://echo.epa.gov/detailed-facility-report?fid=110046434809
1725,MNG AUTO BODY SHOP,0,,http://echo.epa.gov/detailed-facility-report?fid=110012278016
