,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL
636,DELAWARE CITY REFINERY,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110001148598
1411,"JUSTIN TANKS, LLC",10,,http://echo.epa.gov/detailed-facility-report?fid=110041997907
198,SEAFORD MICRONUTRIENT PLANT,8,,http://echo.epa.gov/detailed-facility-report?fid=110016705252
1963,CRODA INC.,7,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000338652
3633,"MEDAL L P, AIR LIQUIDE",6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000338796
2271,"DELAWARE RECYCLABLE PRODUCTS, INC.",6,,http://echo.epa.gov/detailed-facility-report?fid=110001736426
1652,LIVEO RESEARCH INC.,5,,http://echo.epa.gov/detailed-facility-report?fid=110001736015
1378,DASSAULT FALCON JET-WILMINGTON CORP,3,,http://echo.epa.gov/detailed-facility-report?fid=110063978986
908,ADVANCED PAVEMENT GROUP CORP,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001736612
2390,ORIENT CORPORATION OF AMERICA,1,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000339045
358,DELAWARE STATE UNIVERSITY,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001736417
1275,ALFRED I DUPONT HOSPITAL FOR CHILDREN,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110021673170
370,"TRI-COUNTY MATERIALS, LLC",1,,http://echo.epa.gov/detailed-facility-report?fid=110056438396
992,PERDUE GRAIN & OILSEED LLC - BRIDGEVILLE,1,,http://echo.epa.gov/detailed-facility-report?fid=110007080416
1047,UNIVERSITY OF DELAWARE,1,,http://echo.epa.gov/detailed-facility-report?fid=110000787346
2278,HOWARD R YOUNG CORRECTIONAL INSTITUTION,1,,http://echo.epa.gov/detailed-facility-report?fid=110001409949
2832,FMC CORPORATION,1,,http://echo.epa.gov/detailed-facility-report?fid=110000845186
837,RODEL,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010457399
1224,DIAMOND STATE GENERATION PARTNERS,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110054575410
2076,STRATIS VISUALS LLC,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110067572843
