,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL
662,GENERAL CHEMICAL CORPORATION (CLOSED),13,,http://echo.epa.gov/detailed-facility-report?fid=110001143986
1680,KENT COUNTY REGIONAL WWTF,11,2.0,http://echo.epa.gov/detailed-facility-report?fid=110054584632
1092,MOUNTAIRE FARMS INC. - SELBYVILLE PROCESSING,11,,http://echo.epa.gov/detailed-facility-report?fid=110000720505
3576,HANOVER FOODS CORP,8,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000585073
2942,"GEORGE & LYNCH, INC.",8,,http://echo.epa.gov/detailed-facility-report?fid=110054476223
1212,"FISKER AUTOMOTIVE, INC.",7,,http://echo.epa.gov/detailed-facility-report?fid=110043416336
2978,"SYSCO SPOKANE, INC.",7,,http://echo.epa.gov/detailed-facility-report?fid=110070054399
1963,CRODA INC.,6,,http://echo.epa.gov/detailed-facility-report?fid=110000338652
2853,SELBYVILLE WASTEWATER TREATMENT FACILITY,5,,http://echo.epa.gov/detailed-facility-report?fid=110064642052
3436,WINTERTHUR,5,,http://echo.epa.gov/detailed-facility-report?fid=110013190117
1221,"ALLEN FAMILY FOODS, INC. HARBESON PLANT",4,2.0,http://echo.epa.gov/detailed-facility-report?fid=110056556597
1414,INDIAN RIVER GENERATING STATION,4,,http://echo.epa.gov/detailed-facility-report?fid=110064617589
1739,SPI PHARMA INC,4,,http://echo.epa.gov/detailed-facility-report?fid=110000338983
817,MOBILE GARDENS MOBILE HOME PARK,3,,http://echo.epa.gov/detailed-facility-report?fid=110010052646
1359,PORT PENN WASTEWATER TREATMENT PLANT,3,,http://echo.epa.gov/detailed-facility-report?fid=110010052566
2305,INVISTA S.A.R.L.,3,,http://echo.epa.gov/detailed-facility-report?fid=110064631849
3824,"PERDUE FOODS, LLC",2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110064121114
14,DELAWARE CITY POWER PLANT,2,,http://echo.epa.gov/detailed-facility-report?fid=110054469026
366,MILTON WATER RECLAMATION FACILITY,2,,http://echo.epa.gov/detailed-facility-report?fid=110009129371
539,DELAWARE CITY PVC PLANT,2,,http://echo.epa.gov/detailed-facility-report?fid=110000338536
