,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL
612,HOMALITE DIV OF BRANDYWINE INV GROUP,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110002506823
3617,BLOOM ENERGY MANUFACTURING CENTER DELAWARE,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110063754744
2342,PROCINO PLATING,12,,http://echo.epa.gov/detailed-facility-report?fid=110001736186
2701,CHEMOURS RED LION PLANT,7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110056958369
217,DELAWARE MEMORIAL BRIDGE,6,,http://echo.epa.gov/detailed-facility-report?fid=110046256788
2779,HOMALITE,6,,http://echo.epa.gov/detailed-facility-report?fid=110070458485
2058,GARDNER-GIBSON INC.,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110057472596
3160,BASF CORP,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110041998005
3497,E I DUPONT DE NEMOURS - EXPERIMENTAL STATION,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000771807
2026,"SHOOTERS CHOICE - 5105 NORTH DUPONT HIGHWAY, DOVER",5,,http://echo.epa.gov/detailed-facility-report?fid=110002514119
2075,"RMR DELAWARE, LLC",4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070630807
3097,NORAMCO,4,,http://echo.epa.gov/detailed-facility-report?fid=110000338741
314,"FAMILY DOLLAR STORES OF DE, LLC. #4075",3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110059664652
2229,"CLARIOS, LLC - MIDDLETOWN ASSEMBLY PLANT",3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000338590
90,"AMPLIFIED GEOCHEMICAL IMAGING, LLC - PENCADER INDUSTRIAL PARK",3,,http://echo.epa.gov/detailed-facility-report?fid=110056511680
93,SHELL OIL COMPANY,3,,http://echo.epa.gov/detailed-facility-report?fid=110002508867
1390,PRINTPACK INC,3,,http://echo.epa.gov/detailed-facility-report?fid=110000585055
1871,VERIZON DOVER SOC,3,,http://echo.epa.gov/detailed-facility-report?fid=110031294356
3473,ROYAL FARMS STORE 125 - SEAFORD,3,,http://echo.epa.gov/detailed-facility-report?fid=110050409483
3652,ASDI INC,3,,http://echo.epa.gov/detailed-facility-report?fid=110018869704
