REGISTRY_ID,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL
110064744923,LOGISTEC GULF COAST LLC,6,3.0,http://echo.epa.gov/detailed-facility-report?fid=110064744923
110010116070,INTERNATIONAL SHIP REPAIR & MARINE,6,,http://echo.epa.gov/detailed-facility-report?fid=110010116070
110055509043,ENVIROFOCUS TECHNOLOGIES LLC,5,3.0,http://echo.epa.gov/detailed-facility-report?fid=110055509043
110000364374,JOHNSON CONTROLS BATTERY GROUP INC,5,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000364374
110012446763,CITY OF TAMPA MCKAY BAY REFUSE-TO-ENERGY FACILITY,4,2.0,http://echo.epa.gov/detailed-facility-report?fid=110012446763
110038018034,"TITAN AMERICA, LLC",4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110038018034
110001737452,BUILDING MATERIALS MANUFACTURING CORP,3,2.0,http://echo.epa.gov/detailed-facility-report?fid=110001737452
110005590235,"TAMPA SHIP, LLC",3,2.0,http://echo.epa.gov/detailed-facility-report?fid=110005590235
110015680878,BONSAL AMERICAN INC,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110015680878
110039574519,"CHROMALLOY CASTINGS, TAMPA CORP",3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110039574519
110001411589,"ARDENT MILLS, LLC",3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001411589
110039618973,"INDUSTRIAL GALVANIZERS AMERICA, INC.",2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110039618973
110001412221,ST JOSEPH HOSPITAL,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001412221
110001737513,VERTIS COMMUNICATIONS,2,,http://echo.epa.gov/detailed-facility-report?fid=110001737513
110001738424,TAMPA STEEL ERECTING COMPANY,2,,http://echo.epa.gov/detailed-facility-report?fid=110001738424
110056968875,MOSAIC FERTILIZER LLC - RIVERVIEW,2,,http://echo.epa.gov/detailed-facility-report?fid=110056968875
110009078327,HILLSBOROUGH CTY. RESOURCE RECOVERY FAC.,2,,http://echo.epa.gov/detailed-facility-report?fid=110009078327
110006814386,APAC PORT OF TAMPA PLANT,1,,http://echo.epa.gov/detailed-facility-report?fid=110006814386
110008319505,TAMPA ELECTRIC CO BIG BEND POWER STATION,1,,http://echo.epa.gov/detailed-facility-report?fid=110008319505
110001737256,"ARGOS USA, LLC",1,,http://echo.epa.gov/detailed-facility-report?fid=110001737256
