REGISTRY_ID,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL
110022324037,MOSAIC PHOSPHATES CO FAUSTINA PLANT,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110022324037
110000613747,GEORGIA GULF CHEMICALS & VINYLS LLC,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000613747
110000597444,FORMOSA PLASTICS LOUISIANA,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000597444
110056317677,NUCOR STEEL LOUISIANA LLC,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110056317677
110043804185,BATON ROUGE COMPLEX,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110043804185
110043799743,TOKAI CARBON CB LTD - ADDIS FACILITY,12,,http://echo.epa.gov/detailed-facility-report?fid=110043799743
110000449765,LION COPOLYMER GEISMAR LLC - GEISMAR FACILITY,12,,http://echo.epa.gov/detailed-facility-report?fid=110000449765
110000449970,EXXONMOBIL BATON ROUGE CHEMICAL PLANT,12,,http://echo.epa.gov/detailed-facility-report?fid=110000449970
110000572675,SHINTECH PLAQUEMINE PLANT,10,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000572675
110001244724,THE DOW CHEMICAL CO - LOUISIANA OPERATIONS,8,2.0,http://echo.epa.gov/detailed-facility-report?fid=110001244724
110018914781,CII CARBON GRAMERCY FACILITY,7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110018914781
110008393354,SHINTECH  ADDIS PLANT A,6,2.0,http://echo.epa.gov/detailed-facility-report?fid=110008393354
110000597364,BASF CORP,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000597364
110055572232,DYNO NOBEL LA AMMONIA LLC - AMMONIA PROD,2,3.0,http://echo.epa.gov/detailed-facility-report?fid=110055572232
110000597104,UNION CARBIDE,0,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000597104
110037599122,PORT OF SOUTH LOUISIANA - TANK FARM,0,3.0,http://echo.epa.gov/detailed-facility-report?fid=110037599122
110046264760,PRAXAIR INC - GEISMAR FACILITY,0,3.0,http://echo.epa.gov/detailed-facility-report?fid=110046264760
110067396669,DENKA PERFORMANCE ELASTOMER LLC,0,3.0,http://echo.epa.gov/detailed-facility-report?fid=110067396669
110015670521,MONSANTO CO - LULING PLANT,0,3.0,http://echo.epa.gov/detailed-facility-report?fid=110015670521
110005984122,NEW NGC INC - WESTWEGO PLANT,0,2.0,http://echo.epa.gov/detailed-facility-report?fid=110005984122
