,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL
625,TAUNTON WASTEWATER TREATMENT FACILITY,13,,http://echo.epa.gov/detailed-facility-report?fid=110000732654
26677,SOMERSET WATER POLLUTION CONTROL FACILITY,13,,http://echo.epa.gov/detailed-facility-report?fid=110022329005
965,TAUNTON TOWN OF MUNI LIGHT PLA,11,,http://echo.epa.gov/detailed-facility-report?fid=110024570533
6919,ENGINEERED MATERIALS SOLUTIONS INC,11,,http://echo.epa.gov/detailed-facility-report?fid=110003502193
19615,TWEAVE STRETCH WOVEN FABRICS,11,,http://echo.epa.gov/detailed-facility-report?fid=110024377618
34563,MILFORD WASTEWATER TREATMENT FACILITY,11,,http://echo.epa.gov/detailed-facility-report?fid=110006618874
4722,SWANSEA WATER DISTRICT-VINNICUM FILTRATION PLANT,10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110035856455
1305,EMERALD SQUARE MALL,10,,http://echo.epa.gov/detailed-facility-report?fid=110064646851
4235,HOPEDALE LANDFILL,10,,http://echo.epa.gov/detailed-facility-report?fid=110069227964
9768,STRATEGIC MATERIALS INC,10,,http://echo.epa.gov/detailed-facility-report?fid=110043465078
11374,CLARK CUTLER MCDERMOTT,10,,http://echo.epa.gov/detailed-facility-report?fid=110001949492
11406,RIVERSIDE CARHOUSE,10,,http://echo.epa.gov/detailed-facility-report?fid=110064865604
14747,R+L CARRIERS PROVIDENCE SERVICE CENTER,10,,http://echo.epa.gov/detailed-facility-report?fid=110066913282
16899,MANSFIELD WATER POLLUTION CONTROL FACILITY,10,,http://echo.epa.gov/detailed-facility-report?fid=110006618856
18532,M.S.COMPANY,10,,http://echo.epa.gov/detailed-facility-report?fid=110009585797
22077,TAUNTON MUNICIPAL LIGHTING CLEARY PLANT,10,,http://echo.epa.gov/detailed-facility-report?fid=110000312064
31852,FORTIER BOATS INC,10,,http://echo.epa.gov/detailed-facility-report?fid=110024303092
26347,BENJAMIN MOORE PAINT,9,,http://echo.epa.gov/detailed-facility-report?fid=110041973941
626,MEDFIELD WASTEWATER TREATMENT FACILITY,8,1.0,http://echo.epa.gov/detailed-facility-report?fid=110038211869
34026,HOPEDALE WASTE WATER TREATMENT PLANT,8,,http://echo.epa.gov/detailed-facility-report?fid=110006618838
