,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL
1106,3A COMPOSITES,1,,http://echo.epa.gov/detailed-facility-report?fid=110000542084
8053,BARTON DISTILLERY,1,,http://echo.epa.gov/detailed-facility-report?fid=110012315100
5640,QUEST INDUSTRIES LLC,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070005194
17361,KENTUCKY CHROME WORKS LLC,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000381300
22235,OWL'S HEAD ALLOYS INC,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110015680253
30357,JIM BEAM BRANDS CO - CLERMONT PLANT,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110011590705
150,NORTHPOINT TRAINING CENTER,0,,http://echo.epa.gov/detailed-facility-report?fid=110039605549
347,FARMERS RURAL ELECTRIC COOP,0,,http://echo.epa.gov/detailed-facility-report?fid=110011516289
726,LEGGETT & PLATT INCORPORATED,0,,http://echo.epa.gov/detailed-facility-report?fid=110000859982
973,MARRILLIA ENVIRONMENTAL LLC,0,,http://echo.epa.gov/detailed-facility-report?fid=110039133906
1078,KIMBERLY-CLARK CORP OWENSBORO OPERATIONS,0,,http://echo.epa.gov/detailed-facility-report?fid=110000380837
1799,MODERN WELDING COMPANY OF KENTUCKY INC - ELIZABETHTOWN,0,,http://echo.epa.gov/detailed-facility-report?fid=110006757036
1853,EAST KY POWER COOP - HARDIN CO CONTAINED LANDFILL,0,,http://echo.epa.gov/detailed-facility-report?fid=110027222431
1918,"PROMOTIONAL WOOD PRODUCTS, LLC",0,,http://echo.epa.gov/detailed-facility-report?fid=110012170694
2129,DART POLYMERS INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110000380793
2150,EARTHGRAINS BAKERY,0,,http://echo.epa.gov/detailed-facility-report?fid=110011772288
2199,T. MARZETTI COMPANY,0,,http://echo.epa.gov/detailed-facility-report?fid=110032799540
2452,PUBLISHERS PRINTING CO - LEBANON JUNCTION PRESS,0,,http://echo.epa.gov/detailed-facility-report?fid=110003235687
2696,ARCOSA LIGHTWEIGHT - BROOKS PLANT,0,,http://echo.epa.gov/detailed-facility-report?fid=110000766289
2863,KENTUCKY UTILITIES CO - E W BROWN STATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110000872397
