,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL
26289,CENTURY ALUMINUM OF KENTUCKY,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000380917
9561,AMERICAN FUJI SEAL,12,,http://echo.epa.gov/detailed-facility-report?fid=110000883615
6265,CUMBERLAND PRODUCTS INC,8,,http://echo.epa.gov/detailed-facility-report?fid=110003255343
25585,"TOYOTA BOSHOKU KENTUCKY, LLC",6,,http://echo.epa.gov/detailed-facility-report?fid=110006754645
29463,KENTUCKY CHROME WORKS LLC,6,,http://echo.epa.gov/detailed-facility-report?fid=110045521958
24451,"KOBELCO ALUMINUM PRODUCTS & EXTRUSIONS, INC.",5,,http://echo.epa.gov/detailed-facility-report?fid=110070207829
4399,"INTEGRATED COMMERCIALIZATION SOLUTIONS, LLC",4,,http://echo.epa.gov/detailed-facility-report?fid=110042185970
16219,O'REILLY AUTO PARTS STORE 1786,4,,http://echo.epa.gov/detailed-facility-report?fid=110067679471
32532,DOW CORNING CORPORATION,4,,http://echo.epa.gov/detailed-facility-report?fid=110000381186
2830,SAM'S CLUB #4992,3,,http://echo.epa.gov/detailed-facility-report?fid=110032967252
16835,INOAC PACKAGING GROUP,3,,http://echo.epa.gov/detailed-facility-report?fid=110000377770
19403,ARMAG CORPORATION,3,,http://echo.epa.gov/detailed-facility-report?fid=110022311960
19778,ARCH CHEMICALS INC,3,,http://echo.epa.gov/detailed-facility-report?fid=110000377976
21764,STUPP BRIDGE COMPANY,3,,http://echo.epa.gov/detailed-facility-report?fid=110003255192
6256,MODERN PLATING COATINGS & FINISHES LLC,2,,http://echo.epa.gov/detailed-facility-report?fid=110000380374
6918,SOUDAL ACCUMETRIC,2,,http://echo.epa.gov/detailed-facility-report?fid=110003234125
7129,FET ENGINEERING INC,2,,http://echo.epa.gov/detailed-facility-report?fid=110000881813
11073,NPR OF AMERICA CORPORATION,2,,http://echo.epa.gov/detailed-facility-report?fid=110070207823
11141,"INOAC AUTOMOTIVE, LLC",2,,http://echo.epa.gov/detailed-facility-report?fid=110000766350
12221,MAC MANUFACTURING,2,,http://echo.epa.gov/detailed-facility-report?fid=110003240626
