,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL
9972,HARRODSBURG WWTP EXPANSION,13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000732324
17730,BCSD HILLVIEW STP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009013174
18931,BCSD HILLVIEW #2,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009051649
20920,LAKE COLUMBIA WWTF,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009936748
29463,KENTUCKY CHROME WORKS LLC,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110045521958
13508,AKEBONO ELIZABETHTOWN PLANT,13,,http://echo.epa.gov/detailed-facility-report?fid=110000381220
22511,MERCER COUNTY SANITATION DISTRICT PARADISE CAMP WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110006656109
26663,BCSD WILLABROOK SANITATION,13,,http://echo.epa.gov/detailed-facility-report?fid=110009935222
5875,BULLITT COUNTY LANDFILL,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110008357321
12062,CUSTOM FABRICATION & ERECTION,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006751185
12515,AIRVIEW WWTF,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006654478
1346,CLOVERPORT STP,12,,http://echo.epa.gov/detailed-facility-report?fid=110009938844
2696,ARCOSA LIGHTWEIGHT - BROOKS PLANT,12,,http://echo.epa.gov/detailed-facility-report?fid=110000766289
6104,DAVIESS CO FISCAL COURT,12,,http://echo.epa.gov/detailed-facility-report?fid=110006655949
10580,NEW HAVEN STP,12,,http://echo.epa.gov/detailed-facility-report?fid=110009051630
30653,TRIPLE T METALS,12,,http://echo.epa.gov/detailed-facility-report?fid=110064616250
30704,WOODFORD OIL CO,12,,http://echo.epa.gov/detailed-facility-report?fid=110027252737
18,BCSD HILLVIEW SEWER SYSTEM PLT #1,11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009938684
1082,CHIMNEY ROCK WWTP,11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006749670
7624,SHELBY RECYCLING,11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110064619934
