REGISTRY_ID,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL
110000764290,DIAGEO NORTH AMERICA,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000764290
110001251797,"NEW NGC, INC. DBA NATIONAL GYPSUM COMPANY",4,,http://echo.epa.gov/detailed-facility-report?fid=110001251797
110038162902,RAVEN POWER GENERATING STATION,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110038162902
110024825448,BRC LEASING COMPANY LLC-NIH BAYVIEW,1,,http://echo.epa.gov/detailed-facility-report?fid=110024825448
110000764325,U S COAST GUARD YARD,1,,http://echo.epa.gov/detailed-facility-report?fid=110000764325
110019867170,BROADWAY UNITED METH. CHURCH,0,,http://echo.epa.gov/detailed-facility-report?fid=110019867170
110001775133,PEPSI-COLA BOTTLING,0,,http://echo.epa.gov/detailed-facility-report?fid=110001775133
110001296026,DALLAS STREET ANTIQUE COUNTERFEITERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110001296026
110001261606,MCCALL HANDLING CO,0,,http://echo.epa.gov/detailed-facility-report?fid=110001261606
110019865350,ST. AUGUSTINE CHURCH,0,,http://echo.epa.gov/detailed-facility-report?fid=110019865350
110001682536,NEW PATTERSON TAILORS INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110001682536
110001798626,EXXON,0,,http://echo.epa.gov/detailed-facility-report?fid=110001798626
110001260466,"SLADE, ARTHUR REGIONAL SCHOOL",0,,http://echo.epa.gov/detailed-facility-report?fid=110001260466
110002021277,LAUREL AUTO BODY,0,,http://echo.epa.gov/detailed-facility-report?fid=110002021277
110001691642,7-ELEVEN #23439,0,,http://echo.epa.gov/detailed-facility-report?fid=110001691642
110001838600,ASAP CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110001838600
110001799117,7-11 STORE,0,,http://echo.epa.gov/detailed-facility-report?fid=110001799117
110001278705,24/7 COLLISION CARE & TRUCK SHOP,0,,http://echo.epa.gov/detailed-facility-report?fid=110001278705
110001302885,O.K. CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110001302885
110003505065,HILLTOP ELEMENTARY SCHOOL,0,,http://echo.epa.gov/detailed-facility-report?fid=110003505065
