,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL
29048,LAKE PLACID CONFERENCE CENTER,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110012139480
39522,"MANASEK ACQUISITION COMPANY, LLC",13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110069209494
43645,SUMMITVILLE WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110011979403
36882,CICERO WWTP,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009975063
5259,FISHERS CHEENEY CREEK WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110011248293
8952,OAK HILL JR./SR. HIGH SCHOOL-TREATMENT PLANT #1,12,,http://echo.epa.gov/detailed-facility-report?fid=110006799786
18249,STEEL PARTS MANUFACTURING,12,,http://echo.epa.gov/detailed-facility-report?fid=110000889682
10083,LITTLE EAGLE CREEK ESTATES,11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110011248284
12350,WINDFALL WWTP,11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009977604
4775,"ELWOOD WWTP, CITY OF",11,,http://echo.epa.gov/detailed-facility-report?fid=110064242948
10334,FRANKTON WWTP,11,,http://echo.epa.gov/detailed-facility-report?fid=110039951709
23760,HARTFORD CITY WWTP,11,,http://echo.epa.gov/detailed-facility-report?fid=110006645611
29034,CLAY TOWNSHIP REGIONAL WASTE DISTRICT,11,,http://echo.epa.gov/detailed-facility-report?fid=110001123846
4053,OAK BROOK ESTATES-TREATMENT PLANT,10,,http://echo.epa.gov/detailed-facility-report?fid=110006766099
21782,ATLANTA WATER DEPT,10,,http://echo.epa.gov/detailed-facility-report?fid=110012062604
26677,SWAYZEE WWTP,10,,http://echo.epa.gov/detailed-facility-report?fid=110006765946
32195,FAIRMOUNT WWTP,10,,http://echo.epa.gov/detailed-facility-report?fid=110006766678
37604,PRAIRIE UTILITIES KOKOMO WWTP,10,,http://echo.epa.gov/detailed-facility-report?fid=110009739408
41660,FALL CREEK WASTE WATER TREATMENT PLANT,10,,http://echo.epa.gov/detailed-facility-report?fid=110000732128
18123,PINE RIDGE,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006766384
