,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL
3130,SARATOGA WASTEWATER LAGOONS,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110055197558
1798,HANFT PIT,13,,http://echo.epa.gov/detailed-facility-report?fid=110055182500
2786,OIL CANYON,13,,http://echo.epa.gov/detailed-facility-report?fid=110062654961
2845,POWELL WASTEWATER LAGOON,13,,http://echo.epa.gov/detailed-facility-report?fid=110055197424
2927,LITTLE GOOSE RANCH PIT,13,,http://echo.epa.gov/detailed-facility-report?fid=110055182662
2932,GILLETTE WWTF,13,,http://echo.epa.gov/detailed-facility-report?fid=110064614751
3280,LANDER WASTEWATER LAGOON,13,,http://echo.epa.gov/detailed-facility-report?fid=110064598412
3360,EVANSTON WWTF,13,,http://echo.epa.gov/detailed-facility-report?fid=110058916776
3399,BUFFALO CITY YARD,13,,http://echo.epa.gov/detailed-facility-report?fid=110055183242
3447,FORMER CONOCO REFINERY AND GLENROCK STATION,13,,http://echo.epa.gov/detailed-facility-report?fid=110056162682
3757,PINE RIDGE ONE PIT (ARARAT ROCK),13,,http://echo.epa.gov/detailed-facility-report?fid=110055196700
4749,TANK 42 HYDROSTATIC TESTING,13,,http://echo.epa.gov/detailed-facility-report?fid=110064627355
4910,GLENROCK WASTEWATER LAGOON,13,,http://echo.epa.gov/detailed-facility-report?fid=110055197415
5434,MG OIL - GILLETTE,13,,http://echo.epa.gov/detailed-facility-report?fid=110057188813
5517,ASPHALT PLANT AND RECYCLE AREA,13,,http://echo.epa.gov/detailed-facility-report?fid=110055207413
6022,TECHNIPFMC,13,,http://echo.epa.gov/detailed-facility-report?fid=110055164557
6053,CABALLO MINE,13,,http://echo.epa.gov/detailed-facility-report?fid=110055164593
6871,PILOT THOMAS LOGISTICS-ROCK SPRINGS TERMINAL,13,,http://echo.epa.gov/detailed-facility-report?fid=110064632759
7785,NORTH ANT HILLS WELLS,13,,http://echo.epa.gov/detailed-facility-report?fid=110055207618
8477,MOORCROFT WASTEWATER LAGOON,13,,http://echo.epa.gov/detailed-facility-report?fid=110055197601
