CD ,name,party,house/senate,Role,date served since_month,date served since_day,date served since_year,Wiki page,subcommittee 1,subcommittee 1 webpage,subcommittee 2,subcommittee 2 webpage,subcommittee 3,subcommittee 3 webpage,subcommittee 4,subcommittee 4 wepgage
OR2,Greg Walden,R,House,ranking member,January,6th,1999,https://en.wikipedia.org/wiki/Greg_Walden,"ranking member, energy",https://energycommerce.house.gov/subcommittees/energy-116th-congress,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,oversight and investigations,https://energycommerce.house.gov/subcommittees/oversight-and-investigations-116th-congress
CA9,Jerry McNerney,D,House,member,January,3rd,2013,https://en.wikipedia.org/wiki/Jerry_McNerney,"vice chair, energy ",https://energycommerce.house.gov/subcommittees/energy-116th-congress,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,,,,
TX33,Marc Veasey,D,House,member,January,3rd,2013,https://en.wikipedia.org/wiki/Marc_Veasey,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,,,,,,
OH5,Robert E. Latta,R,House,member,December,13th,2007,https://en.wikipedia.org/wiki/Bob_Latta,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,,,,,,
AZ1,Tom O'Halleran,D,House,member,January,3rd,2017,https://en.wikipedia.org/wiki/Tom_O%27Halleran,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,,,,,,
NJ6,Frank Pallone,D,House,chair,January,5th,1993,https://en.wikipedia.org/wiki/Frank_Pallone,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,oversight and investigations,https://energycommerce.house.gov/subcommittees/oversight-and-investigations-116th-congress
FL9,Darren Soto,D,House,member,January,3rd,2017,https://en.wikipedia.org/wiki/Darren_Soto,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,,,,,,
TX17,Bill Flores,R,House,member,January,5th,2011,https://en.wikipedia.org/wiki/Bill_Flores,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,,,,
OH6,Bill Johnson,R,House,member,January,5th,2011,https://en.wikipedia.org/wiki/Bill_Johnson_(Ohio_politician),energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,,,,
WA5,Cathy McMorris Rodgers,R,House,member,January,4th,2005,https://en.wikipedia.org/wiki/Cathy_McMorris_Rodgers,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,,,,
VA4,A. Donald McEachin,D,House,member,January,3rd,2017,https://en.wikipedia.org/wiki/Donald_McEachin,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,,,,
