,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL
93338,MEDGAR EVERS COLLEGE,12,,http://echo.epa.gov/detailed-facility-report?fid=110042190134
141764,KINGSBROOK JEWISH MEDICAL CENTER,12,,http://echo.epa.gov/detailed-facility-report?fid=110001590056
13694,CVS PHARMACY #2141,8,2.0,http://echo.epa.gov/detailed-facility-report?fid=110046535610
48821,NEW YORK COMMUNITY HOSPITAL OF BROOKLYN,6,2.0,http://echo.epa.gov/detailed-facility-report?fid=110014358729
19486,KINGSBORO PSYCHIATRIC CTR,5,,http://echo.epa.gov/detailed-facility-report?fid=110001590065
109410,NYC-HH - KINGS COUNTY HOSPITAL CENTER,3,,http://echo.epa.gov/detailed-facility-report?fid=110001588602
147478,EXXON-MAC'S AUTO DISCOUNT CTR #1857,3,,http://echo.epa.gov/detailed-facility-report?fid=110001571095
120002,BROOKLYN COLLEGE,2,2.0,http://echo.epa.gov/detailed-facility-report?fid=110019512099
16268,NEW YORK METHODIST HOSPITAL,2,,http://echo.epa.gov/detailed-facility-report?fid=110000807789
58919,SUNY DOWNSTATE MEDICAL CENTER,2,,http://echo.epa.gov/detailed-facility-report?fid=110017312184
129400,JOHN JAY HS,2,,http://echo.epa.gov/detailed-facility-report?fid=110000813683
133265,"BETH  ISRAEL MEDICAL CENTER, KINGS HIGHWAY DIVISION",2,,http://echo.epa.gov/detailed-facility-report?fid=110004557523
16910,HUNTER COLLEGE CAMPUS SCHOOLS,1,,http://echo.epa.gov/detailed-facility-report?fid=110000896139
124733,RITE AID #10586,1,,http://echo.epa.gov/detailed-facility-report?fid=110044829763
126340,TARGET STORE T2212,1,,http://echo.epa.gov/detailed-facility-report?fid=110033157358
134102,METROPOLITAN MUSEUM OF ART,1,,http://echo.epa.gov/detailed-facility-report?fid=110004562740
140059,MIDWOOD HS SCHOOL,1,,http://echo.epa.gov/detailed-facility-report?fid=110070122166
139449,BROOKDALE UNIVERSITY HOSPITAL MEDICAL CENTER,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110019851105
25,CHOICE CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110004354136
33,CON EDISON - TRANSFORMER VAULT 1841,0,,http://echo.epa.gov/detailed-facility-report?fid=110063810853
