,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL
828,YCUA REGIONAL WASTEWATER TREATMENT PLANT,13,,http://echo.epa.gov/detailed-facility-report?fid=110000540861
11883,FRITZ ENTERPRISES-TAYLOR,13,,http://echo.epa.gov/detailed-facility-report?fid=110069475320
20290,GROSSE ILE MUNICIPAL AIRPORT,13,,http://echo.epa.gov/detailed-facility-report?fid=110067588499
32012,DEARBORN INDUSTRIAL GENERATION,13,,http://echo.epa.gov/detailed-facility-report?fid=110006650132
32929,SOUTHGATE-WYANDOTTE CSO RTF,13,,http://echo.epa.gov/detailed-facility-report?fid=110009032563
33549,QUALITY WIRE PROCESSING-TAYLOR,13,,http://echo.epa.gov/detailed-facility-report?fid=110069471360
36428,DEARBORN CSO,13,,http://echo.epa.gov/detailed-facility-report?fid=110006740642
36787,ANN ARBOR PS MS4-WASHTENAW,13,,http://echo.epa.gov/detailed-facility-report?fid=110069477033
50332,BONSAL AMERICAN-NEW BOSTON,13,,http://echo.epa.gov/detailed-facility-report?fid=110067585063
55412,DETROIT EDISON CO TRENTON CHANNEL POWER PLANT,13,,http://echo.epa.gov/detailed-facility-report?fid=110000406267
58929,LOCH ALPINE SA-SCIO-WEB WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110009908314
2682,DOUBLE EAGLE STEEL COATING COMPANY,12,,http://echo.epa.gov/detailed-facility-report?fid=110000405598
12456,BASF CORP,12,,http://echo.epa.gov/detailed-facility-report?fid=110000494019
3735,MDEQ-RRD-BERKSHIRE CREEK,11,,http://echo.epa.gov/detailed-facility-report?fid=110009697943
7851,RACER-POWERTRAIN-WILLOW RUN,11,,http://echo.epa.gov/detailed-facility-report?fid=110064165512
22178,MCLOUTH STEEL GIBRALTAR PLANT,11,,http://echo.epa.gov/detailed-facility-report?fid=110010742786
23399,VAN BUREN PS MS4-WAYNE,11,,http://echo.epa.gov/detailed-facility-report?fid=110069487950
25991,SUNOCO-YPSILANTI #0016-5688,11,,http://echo.epa.gov/detailed-facility-report?fid=110001846904
39641,GRACE LAKE CORPORATE CENTER,11,,http://echo.epa.gov/detailed-facility-report?fid=110015720228
42091,ANN ARBOR WWTP,11,,http://echo.epa.gov/detailed-facility-report?fid=110009909313
