,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL
828,YCUA REGIONAL WASTEWATER TREATMENT PLANT,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000540861
4358,TERUMO CARDIOVASCULAR SYS,12,,http://echo.epa.gov/detailed-facility-report?fid=110001144949
12605,HOME DEPOT USA INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110015873964
17130,HAWKER & SON COLLISION,12,,http://echo.epa.gov/detailed-facility-report?fid=110002356450
17359,"BUCKEYE TERMINALS, LLC",12,,http://echo.epa.gov/detailed-facility-report?fid=110032890780
21113,AVFLIGHT WILLOW RUN CORPORATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110044821182
22178,MCLOUTH STEEL GIBRALTAR PLANT,12,,http://echo.epa.gov/detailed-facility-report?fid=110010742786
24243,KALITTA MOTORSPORTS LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110003712055
28874,HANSENS COLLISION LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110003580722
30987,WILLOW RUN BUSINESS CENTER,12,,http://echo.epa.gov/detailed-facility-report?fid=110001841570
37320,SOLUTIA INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110000406294
38409,FIRESTONE TIRE & SERVICE CENTER,12,,http://echo.epa.gov/detailed-facility-report?fid=110045544470
53792,AK STEEL DEARBORN WORKS,12,,http://echo.epa.gov/detailed-facility-report?fid=110060497001
60627,A A PHARMA SYN LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110055526168
23044,MICHIGAN DISPOSAL WASTE TREATMENT PLANT,11,,http://echo.epa.gov/detailed-facility-report?fid=110063118950
20210,BUTCHER ENGINEERING ENTERPRISES,5,,http://echo.epa.gov/detailed-facility-report?fid=110003575792
26784,FORD MOTOR COMPANY,5,,http://echo.epa.gov/detailed-facility-report?fid=110000890661
36719,WAYNE DISPOSAL INC,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000497132
32830,CAYMAN CHEMICAL CO INC,4,,http://echo.epa.gov/detailed-facility-report?fid=110003705027
44411,REVITALIZING AUTO COMMUNITIES ENVIRONMENTAL RESPONSE TRUST,4,,http://echo.epa.gov/detailed-facility-report?fid=110015742482
