ID_NUMBER,ACTIVITY_LOCATION,EVALUATION_IDENTIFIER,EVALUATION_TYPE,EVALUATION_DESC,EVALUATION_AGENCY,EVALUATION_START_DATE,FOUND_VIOLATION,REGISTRY_ID,FAC_NAME,FAC_STREET,FAC_CITY,FAC_STATE,FAC_ZIP,FAC_COUNTY,FAC_EPA_REGION,FAC_LAT,FAC_LONG,FAC_DERIVED_WBD,FAC_DERIVED_CD113,FAC_PERCENT_MINORITY,FAC_POP_DEN,DFR_URL
MAD080051600,MA,000,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,09/04/1991,Y  ,110003445424,EVERGREEN CONSTRUCTION CO INC,15 NORTH MAIN ST,BELLINGHAM,MA,2019,NORFOLK,1,42.089009999999995,-71.47578,10900010601,4,7.997000000000001,686.49,http://echo.epa.gov/detailed-facility-report?fid=110003445424
MAD080051600,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/17/1988,N  ,110003445424,EVERGREEN CONSTRUCTION CO INC,15 NORTH MAIN ST,BELLINGHAM,MA,2019,NORFOLK,1,42.089009999999995,-71.47578,10900010601,4,7.997000000000001,686.49,http://echo.epa.gov/detailed-facility-report?fid=110003445424
MAD080051600,MA,002,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/23/1990,N  ,110003445424,EVERGREEN CONSTRUCTION CO INC,15 NORTH MAIN ST,BELLINGHAM,MA,2019,NORFOLK,1,42.089009999999995,-71.47578,10900010601,4,7.997000000000001,686.49,http://echo.epa.gov/detailed-facility-report?fid=110003445424
MAD080051600,MA,003,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/15/1991,N  ,110003445424,EVERGREEN CONSTRUCTION CO INC,15 NORTH MAIN ST,BELLINGHAM,MA,2019,NORFOLK,1,42.089009999999995,-71.47578,10900010601,4,7.997000000000001,686.49,http://echo.epa.gov/detailed-facility-report?fid=110003445424
MAD128422870,MA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/02/2008,Y  ,110000311957,METALOR REFINING,255 JOHN L DIETSCH BOULEVARD,NORTH ATTLEBORO,MA,2761,BRISTOL,1,41.98305,-71.30004,10900040401,4,10.687000000000001,1636.3,http://echo.epa.gov/detailed-facility-report?fid=110000311957
MAD128422870,MA,000,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/28/1994,N  ,110000311957,METALOR REFINING,255 JOHN L DIETSCH BOULEVARD,NORTH ATTLEBORO,MA,2761,BRISTOL,1,41.98305,-71.30004,10900040401,4,10.687000000000001,1636.3,http://echo.epa.gov/detailed-facility-report?fid=110000311957
MAD128422870,MA,000,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/30/1998,Y  ,110000311957,METALOR REFINING,255 JOHN L DIETSCH BOULEVARD,NORTH ATTLEBORO,MA,2761,BRISTOL,1,41.98305,-71.30004,10900040401,4,10.687000000000001,1636.3,http://echo.epa.gov/detailed-facility-report?fid=110000311957
MAD128422870,MA,000,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,09/23/1998,Y  ,110000311957,METALOR REFINING,255 JOHN L DIETSCH BOULEVARD,NORTH ATTLEBORO,MA,2761,BRISTOL,1,41.98305,-71.30004,10900040401,4,10.687000000000001,1636.3,http://echo.epa.gov/detailed-facility-report?fid=110000311957
MAD128422870,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/22/1991,N  ,110000311957,METALOR REFINING,255 JOHN L DIETSCH BOULEVARD,NORTH ATTLEBORO,MA,2761,BRISTOL,1,41.98305,-71.30004,10900040401,4,10.687000000000001,1636.3,http://echo.epa.gov/detailed-facility-report?fid=110000311957
MAD128422870,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,09/22/2003,N  ,110000311957,METALOR REFINING,255 JOHN L DIETSCH BOULEVARD,NORTH ATTLEBORO,MA,2761,BRISTOL,1,41.98305,-71.30004,10900040401,4,10.687000000000001,1636.3,http://echo.epa.gov/detailed-facility-report?fid=110000311957
