ID_NUMBER,ACTIVITY_LOCATION,VIOLATION_TYPE,VIOLATION_TYPE_DESC,VIOL_DETERMINED_BY_AGENCY,DATE_VIOLATION_DETERMINED,ACTUAL_RTC_DATE,SCHEDULED_COMPLIANCE_DATE,REGISTRY_ID,FAC_NAME,FAC_STREET,FAC_CITY,FAC_STATE,FAC_ZIP,FAC_COUNTY,FAC_EPA_REGION,FAC_LAT,FAC_LONG,FAC_DERIVED_WBD,FAC_DERIVED_CD113,FAC_PERCENT_MINORITY,FAC_POP_DEN,DFR_URL
MAD080051600,MA,263.A,Standards Applicable to Transporters of HW: General,S  ,09/04/1991,11/24/1998,,110003445424,EVERGREEN CONSTRUCTION CO INC,15 NORTH MAIN ST,BELLINGHAM,MA,2019,NORFOLK,1,42.089009999999995,-71.47578,10900010601,4,7.997000000000001,686.49,http://echo.epa.gov/detailed-facility-report?fid=110003445424
MAD128422870,MA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,E  ,07/28/2005,10/11/2005,,110000311957,METALOR REFINING,255 JOHN L DIETSCH BOULEVARD,NORTH ATTLEBORO,MA,2761,BRISTOL,1,41.98305,-71.30004,10900040401,4,10.687000000000001,1636.3,http://echo.epa.gov/detailed-facility-report?fid=110000311957
MAD128422870,MA,261.A,ID and Listing of HW: General,S  ,06/30/1998,09/23/1998,10/01/1998,110000311957,METALOR REFINING,255 JOHN L DIETSCH BOULEVARD,NORTH ATTLEBORO,MA,2761,BRISTOL,1,41.98305,-71.30004,10900040401,4,10.687000000000001,1636.3,http://echo.epa.gov/detailed-facility-report?fid=110000311957
MAD128422870,MA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,04/02/2008,08/20/2008,,110000311957,METALOR REFINING,255 JOHN L DIETSCH BOULEVARD,NORTH ATTLEBORO,MA,2761,BRISTOL,1,41.98305,-71.30004,10900040401,4,10.687000000000001,1636.3,http://echo.epa.gov/detailed-facility-report?fid=110000311957
MAD006954267,MA,268.A,Land Disposal Restrictions: General,S  ,03/17/1992,05/28/1992,06/08/1992,110000311779,SOMERSET POWER GENERATING STATION,1606 RIVERSIDE AVENUE,SOMERSET,MA,2726,BRISTOL,1,41.7378,-71.1453,10900040804,4,11.815,2621.5,http://echo.epa.gov/detailed-facility-report?fid=110000311779
MAC300098589,MA,279.C,Standards for Used Oil: Generators,S  ,01/08/2020,01/15/2020,,110063851988,BOSTON GREEN FUEL COMPANY INC,102 CHARLES ELDRIDGE DR,LAKEVILLE,MA,2347,PLYMOUTH,1,41.875042,-70.948712,10900040204,4,6.5,612.16,http://echo.epa.gov/detailed-facility-report?fid=110063851988
MAR000014308,MA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,03/02/2012,08/30/2012,10/01/2012,110000311779,SOMERSET POWER GENERATING STATION,1606 RIVERSIDE AVENUE,SOMERSET,MA,2726,BRISTOL,1,41.7378,-71.1453,10900040804,4,11.815,2621.5,http://echo.epa.gov/detailed-facility-report?fid=110000311779
MAC300098589,MA,264.J,Standards for Owners and Operators of HW TSDs: Tank Systems,S  ,01/08/2020,01/15/2020,,110063851988,BOSTON GREEN FUEL COMPANY INC,102 CHARLES ELDRIDGE DR,LAKEVILLE,MA,2347,PLYMOUTH,1,41.875042,-70.948712,10900040204,4,6.5,612.16,http://echo.epa.gov/detailed-facility-report?fid=110063851988
MAC300098589,MA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,01/08/2020,01/15/2020,,110063851988,BOSTON GREEN FUEL COMPANY INC,102 CHARLES ELDRIDGE DR,LAKEVILLE,MA,2347,PLYMOUTH,1,41.875042,-70.948712,10900040204,4,6.5,612.16,http://echo.epa.gov/detailed-facility-report?fid=110063851988
MAC300098589,MA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,01/08/2020,01/15/2020,,110063851988,BOSTON GREEN FUEL COMPANY INC,102 CHARLES ELDRIDGE DR,LAKEVILLE,MA,2347,PLYMOUTH,1,41.875042,-70.948712,10900040204,4,6.5,612.16,http://echo.epa.gov/detailed-facility-report?fid=110063851988
MAD063909774,MA,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,04/18/2013,,05/30/2013,110003440107,BROUGHAM MOTORS INC,483 BEDFORD ST,FALL RIVER,MA,2720,BRISTOL,1,41.700379999999996,-71.14698,10900040803,4,15.727,4653.53,http://echo.epa.gov/detailed-facility-report?fid=110003440107
MAD063909774,MA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,04/18/2013,,05/30/2013,110003440107,BROUGHAM MOTORS INC,483 BEDFORD ST,FALL RIVER,MA,2720,BRISTOL,1,41.700379999999996,-71.14698,10900040803,4,15.727,4653.53,http://echo.epa.gov/detailed-facility-report?fid=110003440107
MAD063909774,MA,279.C,Standards for Used Oil: Generators,S  ,04/18/2013,,05/30/2013,110003440107,BROUGHAM MOTORS INC,483 BEDFORD ST,FALL RIVER,MA,2720,BRISTOL,1,41.700379999999996,-71.14698,10900040803,4,15.727,4653.53,http://echo.epa.gov/detailed-facility-report?fid=110003440107
MAD980671846,MA,262.A,Standards Applicable to Generators of HW: General,S  ,05/07/1991,05/30/1991,05/28/1991,110003455056,BOSTOMATIC,125 FORTUNE BOULEVARD (GRANITE PARK),MILFORD,MA,1757,WORCESTER,1,42.16172,-71.50505,10900010601,4,14.925999999999998,1330.93,http://echo.epa.gov/detailed-facility-report?fid=110003455056
MAD980671846,MA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,10/09/2018,12/10/2018,12/09/2018,110003455056,BOSTOMATIC,125 FORTUNE BOULEVARD (GRANITE PARK),MILFORD,MA,1757,WORCESTER,1,42.16172,-71.50505,10900010601,4,14.925999999999998,1330.93,http://echo.epa.gov/detailed-facility-report?fid=110003455056
MAD980671846,MA,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,08/03/1996,12/02/1996,10/11/1996,110003455056,BOSTOMATIC,125 FORTUNE BOULEVARD (GRANITE PARK),MILFORD,MA,1757,WORCESTER,1,42.16172,-71.50505,10900010601,4,14.925999999999998,1330.93,http://echo.epa.gov/detailed-facility-report?fid=110003455056
