NPDES_ID,YEARQTR,HLRNC,NUME90Q,NUMCVDT,NUMSVCD,NUMPSCH,FAC_NAME,FAC_STREET,FAC_CITY,FAC_STATE,FAC_ZIP,FAC_COUNTY,FAC_EPA_REGION,FAC_LAT,FAC_LONG,FAC_DERIVED_WBD,FAC_DERIVED_CD113,FAC_PERCENT_MINORITY,FAC_POP_DEN,DFR_URL
MA0026182,19971, ,1,0,0,0,WHEATON COLLEGE,26 EAST MAIN ST,NORTON,MA,2766,BRISTOL,1,41.968421,-71.18534,10900040302,4,7.204,718.91,http://echo.epa.gov/detailed-facility-report?fid=110024355981
MA0026182,19972, ,1,0,0,0,WHEATON COLLEGE,26 EAST MAIN ST,NORTON,MA,2766,BRISTOL,1,41.968421,-71.18534,10900040302,4,7.204,718.91,http://echo.epa.gov/detailed-facility-report?fid=110024355981
MA0026182,19973, ,12,0,0,0,WHEATON COLLEGE,26 EAST MAIN ST,NORTON,MA,2766,BRISTOL,1,41.968421,-71.18534,10900040302,4,7.204,718.91,http://echo.epa.gov/detailed-facility-report?fid=110024355981
MA0026182,19974, ,6,0,0,0,WHEATON COLLEGE,26 EAST MAIN ST,NORTON,MA,2766,BRISTOL,1,41.968421,-71.18534,10900040302,4,7.204,718.91,http://echo.epa.gov/detailed-facility-report?fid=110024355981
MA0026182,19981, ,4,0,0,0,WHEATON COLLEGE,26 EAST MAIN ST,NORTON,MA,2766,BRISTOL,1,41.968421,-71.18534,10900040302,4,7.204,718.91,http://echo.epa.gov/detailed-facility-report?fid=110024355981
MA0026182,19982, ,6,0,0,0,WHEATON COLLEGE,26 EAST MAIN ST,NORTON,MA,2766,BRISTOL,1,41.968421,-71.18534,10900040302,4,7.204,718.91,http://echo.epa.gov/detailed-facility-report?fid=110024355981
MA0026182,19983, ,7,0,0,0,WHEATON COLLEGE,26 EAST MAIN ST,NORTON,MA,2766,BRISTOL,1,41.968421,-71.18534,10900040302,4,7.204,718.91,http://echo.epa.gov/detailed-facility-report?fid=110024355981
MA0026182,19984, ,3,0,0,0,WHEATON COLLEGE,26 EAST MAIN ST,NORTON,MA,2766,BRISTOL,1,41.968421,-71.18534,10900040302,4,7.204,718.91,http://echo.epa.gov/detailed-facility-report?fid=110024355981
MA0026182,19991, ,19,0,0,0,WHEATON COLLEGE,26 EAST MAIN ST,NORTON,MA,2766,BRISTOL,1,41.968421,-71.18534,10900040302,4,7.204,718.91,http://echo.epa.gov/detailed-facility-report?fid=110024355981
MA0026182,19992, ,15,0,0,0,WHEATON COLLEGE,26 EAST MAIN ST,NORTON,MA,2766,BRISTOL,1,41.968421,-71.18534,10900040302,4,7.204,718.91,http://echo.epa.gov/detailed-facility-report?fid=110024355981
