REGISTRY_ID,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL
110006618197,BAKER CITY WWTP,13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110006618197
110037765656,HOOD RIVER STP,13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110037765656
110014169461,THE DALLES STP,12,,http://echo.epa.gov/detailed-facility-report?fid=110014169461
110055021453,WARM SPRINGS WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110055021453
110006618160,ASHLAND WWTP,11,2.0,http://echo.epa.gov/detailed-facility-report?fid=110006618160
110063630977,SAPA EXTRUSIONS THE DALLES CAST HOUSE,10,,http://echo.epa.gov/detailed-facility-report?fid=110063630977
110058294224,HERMISTON WWTP,9,,http://echo.epa.gov/detailed-facility-report?fid=110058294224
110006696441,WALLOWA STP,8,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006696441
110001658448,MEDFORD RWRF,8,,http://echo.epa.gov/detailed-facility-report?fid=110001658448
110045420157,GRANTS PASS STP,8,,http://echo.epa.gov/detailed-facility-report?fid=110045420157
110009817074,PRINEVILLE STP,8,,http://echo.epa.gov/detailed-facility-report?fid=110009817074
110000488936,HEINZ FROZEN FOOD COMPANY,7,,http://echo.epa.gov/detailed-facility-report?fid=110000488936
110009817378,JOSEPH STP,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009817378
110006696450,HUNTINGTON STP,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006696450
110006696405,HEPPNER  STP,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006696405
110006618446,ONTARIO STP,6,,http://echo.epa.gov/detailed-facility-report?fid=110006618446
110009817172,PENDLETON WASTEWATER TREATMENT PLANT,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009817172
110045293810,WARM SPRINGS NATIONAL FISH HATCHERY,4,,http://echo.epa.gov/detailed-facility-report?fid=110045293810
110039702612,BIGGS SERVICE DISTRICT WW TREATMENT,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110039702612
110014266365,BOISE CASCADE MEDFORD OPERATIONS,3,,http://echo.epa.gov/detailed-facility-report?fid=110014266365
