,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL
81773,DOWDY RANCH CENTRAL GATHERING FACILITY,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110034626322
25505,TXI OPERATIONS LP,12,,http://echo.epa.gov/detailed-facility-report?fid=110008060187
28549,LEHIGH CEMENT CO LLC / WACO PLANT,12,,http://echo.epa.gov/detailed-facility-report?fid=110031018075
34979,AKER PLANT,12,,http://echo.epa.gov/detailed-facility-report?fid=110033247172
37444,LIMESTONE ELECTRIC GENERATING STATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110000608245
65964,BRYAN,12,,http://echo.epa.gov/detailed-facility-report?fid=110028051177
79863,BIG BROWN STEAM ELECTRIC STATION & LIGNITE MINE,12,,http://echo.epa.gov/detailed-facility-report?fid=110000598988
102462,LIDE INDUSTRIES MEXIA,12,,http://echo.epa.gov/detailed-facility-report?fid=110022523884
5950,CLARKE PRODUCTS WACO FACILITY,7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110002133138
4844,BUFFALO CENTRAL GATHERING FACILITY,1,2.0,http://echo.epa.gov/detailed-facility-report?fid=110033530695
69421,AUSTIN WHITE LIME MCNEIL PLANT & QUARRY,1,2.0,http://echo.epa.gov/detailed-facility-report?fid=110008060702
70320,US SILICA KOSSE PLANT,1,2.0,http://echo.epa.gov/detailed-facility-report?fid=110007180772
65781,DEW CENTRAL GATHERING FACILITY,1,,http://echo.epa.gov/detailed-facility-report?fid=110015736854
14399,GLASS CENTER,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000460554
176,BRAZOS PAVING TRENCH BURNER IN1633,0,,http://echo.epa.gov/detailed-facility-report?fid=110070262426
1155,KIRK'S DRY CLEANING #2,0,,http://echo.epa.gov/detailed-facility-report?fid=110001873795
1232,WORTHAM STATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110008152925
3843,R&R MACHINE,0,,http://echo.epa.gov/detailed-facility-report?fid=110007336187
4235,TARCO INCORPORATED,0,,http://echo.epa.gov/detailed-facility-report?fid=110001868239
7026,WOODWAY PLANT,0,,http://echo.epa.gov/detailed-facility-report?fid=110035145946
