,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL
52249,CHI ST JOSEPH HEALTH REGIONAL CENTER,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110005011860
112131,TEXAS A&M UNIVERSITY GEOCHEMICAL & ENVIRONMENTAL,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110005126719
14706,GOOSENECK TRAILER MFG,12,,http://echo.epa.gov/detailed-facility-report?fid=110000599647
33917,SONOCO FLEXIBLE PACKAGING,12,,http://echo.epa.gov/detailed-facility-report?fid=110005108490
84788,SOUTHERN ENTERPRISES OF ENVIROCARE,8,1.0,http://echo.epa.gov/detailed-facility-report?fid=110005178716
65291,CC CREATIONS,4,,http://echo.epa.gov/detailed-facility-report?fid=110005046654
19747,VANTRAN INDUSTRIES,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000460509
4999,VOSSLOH FASTENING SYSTEMS,2,,http://echo.epa.gov/detailed-facility-report?fid=110064014418
26665,KOMICO TECHNOLOGY AUSTIN,1,,http://echo.epa.gov/detailed-facility-report?fid=110033157786
30371,THE CLEANING GUYS,1,,http://echo.epa.gov/detailed-facility-report?fid=110070122986
65162,BAYLOR UNIVERSITY,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110033292693
73044,TRACTOR SUPPLY DISTRIBUTION CENTER 398,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110035044305
93916,OMNICARE OF WACO,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110064671813
450,RTI DIRECTED MANUFACTURING,0,,http://echo.epa.gov/detailed-facility-report?fid=110070435222
1232,WORTHAM STATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110008152925
1272,TARRANT COUNTY WCID 1 STREETMAN,0,,http://echo.epa.gov/detailed-facility-report?fid=110013297716
2017,WALMART SUPERCENTER #7156,0,,http://echo.epa.gov/detailed-facility-report?fid=110070122958
2053,BURLINGTON NORTHERN AND SANTA FE RAILWAY,0,,http://echo.epa.gov/detailed-facility-report?fid=110001147116
2975,DISCOUNT CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110031374260
3002,FAMILY DOLLAR #3747,0,,http://echo.epa.gov/detailed-facility-report?fid=110063680182
