REGISTRY_ID,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL
110009027258,DOWAGIAC WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110009027258
110041264985,CROSSROADS DAIRY-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110041264985
110055092849,WAYLAND TWP WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110055092849
110041271272,SHAMROCK-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110041271272
110043488678,CONTRACT FINISHERS INC-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110043488678
110003699141,NEW BUFFALO WFP,13,,http://echo.epa.gov/detailed-facility-report?fid=110003699141
110041951821,HEASLEY FARM-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110041951821
110041951910,ROLLING ACRES DAIRY-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110041951910
110041950653,JOHN SCHAENDORF DAIRY-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110041950653
110010125239,ST JOSEPH CSO,13,,http://echo.epa.gov/detailed-facility-report?fid=110010125239
110009911168,MENDON WWSL,13,,http://echo.epa.gov/detailed-facility-report?fid=110009911168
110006742819,BARODA WWSL,13,,http://echo.epa.gov/detailed-facility-report?fid=110006742819
110009910043,MENDON WTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110009910043
110006742542,BANGOR WWSL,13,,http://echo.epa.gov/detailed-facility-report?fid=110006742542
110055259740,EDGE WOOD DAIRY LLC-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110055259740
110006740704,HARTFORD WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110006740704
110042369148,COLON WWTF,13,,http://echo.epa.gov/detailed-facility-report?fid=110042369148
110041951876,LORENZ FARMS - CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110041951876
110041950662,KLEINHEKSEL FARMS-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110041950662
110055198361,GUN LAKE CASINO WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110055198361
