REGISTRY_ID,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
110055105185,FOSS RECYCLING INC-WILSON,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110055105185,35.69709,-77.89491
110015308111,"METALLIX REFINING, INC - GREENVILLE PLANT",2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110015308111,35.64516,-77.36381999999999
110000347937,"REGULATOR MARINE, INC.",2,,http://echo.epa.gov/detailed-facility-report?fid=110000347937,36.08254,-76.59151999999999
110024439669,DILL AIR CONTROLS PRODUCTS LLC,2,,http://echo.epa.gov/detailed-facility-report?fid=110024439669,36.31304,-78.554958
110067553392,ADUSA DISTRIBUTION  DC 9,2,,http://echo.epa.gov/detailed-facility-report?fid=110067553392,36.149133,-78.738069
110007659471,CONSOLIDATED DIESEL COMPANY,2,,http://echo.epa.gov/detailed-facility-report?fid=110007659471,36.0953,-77.72715
110004061005,IPS CORPORATION - DURHAM PLANT,2,,http://echo.epa.gov/detailed-facility-report?fid=110004061005,35.972390000000004,-78.86697
110042039692,"AVOCA, INCORPORATED",2,,http://echo.epa.gov/detailed-facility-report?fid=110042039692,36.00056,-76.71005
110038043989,"SPIRIT AEROSYSTEMS, INC.",2,,http://echo.epa.gov/detailed-facility-report?fid=110038043989,35.33055,-77.59761999999999
110000350450,HATTERAS YACHTS,2,,http://echo.epa.gov/detailed-facility-report?fid=110000350450,35.13847,-77.07087
110039081472,SHEETZ #409,0,,http://echo.epa.gov/detailed-facility-report?fid=110039081472,35.552040000000005,-77.4049
110004013932,STEWARD PAINTING & DECORATING CO INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110004013932,35.99257,-78.8546
110004017313,OXFORD DRY CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110004017313,36.32662,-78.59425
110004017821,LOGSBORO PIT,0,,http://echo.epa.gov/detailed-facility-report?fid=110004017821,35.916976,-77.547134
110006068637,FEYER FORD & MERCURY INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110006068637,35.85407,-76.7515
110004058625,EAST COAST #72,0,,http://echo.epa.gov/detailed-facility-report?fid=110004058625,36.059168,-78.90318
110069518588,NCDSCA DC740006 (RABO CLEANERS),0,,http://echo.epa.gov/detailed-facility-report?fid=110069518588,35.59145,-77.38962
110009853792,LKQ CITY AUTO PARTS,0,,http://echo.epa.gov/detailed-facility-report?fid=110009853792,35.95807,-78.84255
110004011649,WALKER AUTO SUPPLY,0,,http://echo.epa.gov/detailed-facility-report?fid=110004011649,36.00414,-78.90281999999999
110018687740,ROYSTER CLARK,0,,http://echo.epa.gov/detailed-facility-report?fid=110018687740,35.89553,-77.53898000000001
