,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL
37174,"MOUNT CARMEL STP, CITY OF",13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110001104108
329,HARRISBURG STP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000880280
46976,PARIS SOUTH STP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001103948
54684,COWDEN STP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009735386
70962,AMEREN - HUTSONVILLE POWER STATION,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000439366
78148,"RIDGE FARM STP, VILLAGE OF",13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009989352
94807,"MARINE STP, VILLAGE OF",13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006775230
96275,"XENIA STP, VILLAGE OF",13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010025668
37,NEW SIMPSON HILL SCHOOL DISTRICT #32 STP,13,,http://echo.epa.gov/detailed-facility-report?fid=110006679503
1190,"HOYLETON STP, VILLAGE OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110010025551
1435,"FARINA STP, VILLAGE OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110010025748
2549,"NEWTON STP, CITY OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110018179335
2558,"SHELBYVILLE STP, CITY OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110006770315
2956,"JUNCTION CITY STP, VILLAGE OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110009982359
2957,HOMER WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110040082549
6031,"CASEY - NORTHEAST STP, CITY OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110018324295
7325,"MARTINSVILLE STP, CITY OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110006678719
7910,SAFETY STORAGE INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110000438492
9966,BECK BUS TRANSPORTATION,13,,http://echo.epa.gov/detailed-facility-report?fid=110042383453
14281,"FLAT ROCK STP, VILLAGE OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110006775221
