,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL
14294,WETUMKA LANDFILL,13,6.0,http://echo.epa.gov/detailed-facility-report?fid=110022587235
1827,"CHELSEA, TOWN OF",13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110011009078
22354,BLUEJACKET WWT,12,6.0,http://echo.epa.gov/detailed-facility-report?fid=110039702532
3369,JAY UTILITIES AUTHORITY,12,4.0,http://echo.epa.gov/detailed-facility-report?fid=110006644970
18158,CANDIAN PUBLIC WORKS AUTH,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110039738148
3011,CITY OF SALLISAW SOLID WASTE DISPOSAL FACILITY,11,8.0,http://echo.epa.gov/detailed-facility-report?fid=110011008587
23395,HUGO MUNICIPAL AUTHORITY,11,7.0,http://echo.epa.gov/detailed-facility-report?fid=110064606369
11500,KEOTA PWA,11,4.0,http://echo.epa.gov/detailed-facility-report?fid=110011007855
44,REFRESCO BEVERAGES,11,2.0,http://echo.epa.gov/detailed-facility-report?fid=110006661193
6161,OK FOODS - MULDROW,11,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000544894
25609,MCALESTER PWA,11,2.0,http://echo.epa.gov/detailed-facility-report?fid=110037273321
29973,HEAVENER UTILITY AUTHORITY,11,2.0,http://echo.epa.gov/detailed-facility-report?fid=110010698067
1532,WARNER UTILITIES AUTHORITY,11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110011007828
30615,"EAGLE FAMILY FOODS GROUP, LLC",11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110063981053
2251,OK ST DEPT OF CORRECTIONS-HOWA,11,,http://echo.epa.gov/detailed-facility-report?fid=110009154869
15293,JOSHUA COAL CO.-METROPOLIS,11,,http://echo.epa.gov/detailed-facility-report?fid=110011013161
8099,WELEETKA PWA,10,4.0,http://echo.epa.gov/detailed-facility-report?fid=110064854812
30801,WRIGHT PUBLIC WORKS AUTHORITY,10,2.0,http://echo.epa.gov/detailed-facility-report?fid=110011008079
250,JOHN LILLEY CORRECTIONAL CNTR,10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110021019477
15360,HASKELL PUB WORKS AUTH,10,,http://echo.epa.gov/detailed-facility-report?fid=110009154832
