,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL
8823,SETCO INC,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110013286880
19366,"GROVE BATTERY MANUFACTURING, LLC",5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110064331842
1979,TRICAT INC,5,,http://echo.epa.gov/detailed-facility-report?fid=110046424552
3544,BALDOR ELECTRIC CO,2,,http://echo.epa.gov/detailed-facility-report?fid=110007730660
18221,US ARMY MCALESTER ARMY AMMUNITION PLANT,2,,http://echo.epa.gov/detailed-facility-report?fid=110000455702
5178,CVS PHARMACY # 10275,1,,http://echo.epa.gov/detailed-facility-report?fid=110056333819
11940,ISTI PLANT SERVICES,1,,http://echo.epa.gov/detailed-facility-report?fid=110055419569
18544,LMIA TULSA KITTING & DISTRIBUTION CTR,1,,http://echo.epa.gov/detailed-facility-report?fid=110043765725
20658,ISTI PLANT SERVICES,1,,http://echo.epa.gov/detailed-facility-report?fid=110064300572
23350,CHOCTAW MANUFACTURING AND DEFENSE CONTRACTORS,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009434166
44,REFRESCO BEVERAGES,0,,http://echo.epa.gov/detailed-facility-report?fid=110006661193
83,WAL-MART STORE # 232,0,,http://echo.epa.gov/detailed-facility-report?fid=110012277721
134,FRANKS  AUTO,0,,http://echo.epa.gov/detailed-facility-report?fid=110004756318
156,ERGON ASPHALT AND E/CATOOSA EMULSION FAC,0,,http://echo.epa.gov/detailed-facility-report?fid=110038106288
273,AAA GALVANIZING CHE/CHELSEA FACILITY,0,,http://echo.epa.gov/detailed-facility-report?fid=110020045789
336,PRAXAIR CLAREMORE,0,,http://echo.epa.gov/detailed-facility-report?fid=110062923779
340,SPEEDY LUBE,0,,http://echo.epa.gov/detailed-facility-report?fid=110004761543
387,RYDER TRUCK RENTAL,0,,http://echo.epa.gov/detailed-facility-report?fid=110004753393
531,"OKLAHOMA STEEL & WIRE CO., INC.",0,,http://echo.epa.gov/detailed-facility-report?fid=110000606755
539,TRACTOR SUPPLY # 1102,0,,http://echo.epa.gov/detailed-facility-report?fid=110059761663
