REGISTRY_ID,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL
110017981781,INTERNATIONAL PAPER COMPANY,12,,http://echo.epa.gov/detailed-facility-report?fid=110017981781
110017981736,BUDDYS AUTO MALL,12,,http://echo.epa.gov/detailed-facility-report?fid=110017981736
110070208170,FRENCH DAVIS COLLISION,12,,http://echo.epa.gov/detailed-facility-report?fid=110070208170
110024424014,EBV EXPLOSIVES ENVIRONMENTAL C O,12,,http://echo.epa.gov/detailed-facility-report?fid=110024424014
110070332684,RIDEWELL CORP,12,,http://echo.epa.gov/detailed-facility-report?fid=110070332684
110003934994,OREILLY AUTO PARTS STORE 4031,12,,http://echo.epa.gov/detailed-facility-report?fid=110003934994
110000443832,LOZIER CORP-AFI DIVISION,12,,http://echo.epa.gov/detailed-facility-report?fid=110000443832
110003995151,166 AUTO AUCTION,12,,http://echo.epa.gov/detailed-facility-report?fid=110003995151
110064173291,EBV EXPLOSIVES ENVIRONMENTAL C O,12,,http://echo.epa.gov/detailed-facility-report?fid=110064173291
110035429131,JOPLIN SCHOOL DISTRICT,11,,http://echo.epa.gov/detailed-facility-report?fid=110035429131
110043856645,HOLLOWAY AMERICA LLC,11,,http://echo.epa.gov/detailed-facility-report?fid=110043856645
110003973656,FIRESTONE SERVICE CENTER # 4153,11,,http://echo.epa.gov/detailed-facility-report?fid=110003973656
110012601737,MID-AMERICA PRECISION PRODUCTS  LLC,11,,http://echo.epa.gov/detailed-facility-report?fid=110012601737
110040048141,FEDEX FREIGHT INC SGF,11,,http://echo.epa.gov/detailed-facility-report?fid=110040048141
110007636139,TRI STATE MOTOR TRANSIT CO,11,,http://echo.epa.gov/detailed-facility-report?fid=110007636139
110012608455,DYNO NOBEL INC CARTHAGE PLANT,10,3.0,http://echo.epa.gov/detailed-facility-report?fid=110012608455
110006665153,HOME DEPOT #HD3042,10,,http://echo.epa.gov/detailed-facility-report?fid=110006665153
110012704083,NORTHSTAR BATTERY CO LLC PLANT 1-SPRINGFIELD,4,,http://echo.epa.gov/detailed-facility-report?fid=110012704083
110003943653,GARAGE GRAPHICS & VISUALS,4,,http://echo.epa.gov/detailed-facility-report?fid=110003943653
110033191392,POSITRONIC INDUSTRIES,3,,http://echo.epa.gov/detailed-facility-report?fid=110033191392
