,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL
11577,STINKER STORES - STINKER #343,2,3.0,http://echo.epa.gov/detailed-facility-report?fid=110001720175
13855,K.P. KAUFFMAN - REG 7 REPORTING,1,3.0,http://echo.epa.gov/detailed-facility-report?fid=110010751347
25966,BAYSWATER EXPL - REG 7  & OOOO REPORTING,1,2.0,http://echo.epa.gov/detailed-facility-report?fid=110045438184
165,CONOCOPHILLIPS COMPANY - 2706375,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001437035
1107,HARACE - MILE HIGH QUICK STOP,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070704065
4296,NORTH WASHINGTON SINCLAIR,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010299444
5015,"7-ELEVEN, INC. - NO 13194",1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001391342
10893,CIRCLE K STORE # 2709898,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001393297
11655,"PYNERGY, LLC - 4001 COLORADO BLVD",1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110028004843
12404,"FUNERAL DIRECTOR'S SERVICE, LLC",1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110037582489
12652,WESTERN GAS & CONVENIENCE #103,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110017379745
12836,OMNI-X U.S.A .,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110022307494
13261,FOUNDATION ENERGY - REG 7 REPORTING,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110045434767
13582,TWIN STAR ENERGY #522,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009563267
15635,AB PETROLEUM INC NO 22,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001720166
19778,PRESBYTERIAN ST LUKES,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110002397629
23919,DIAMOND SHAMROCK NO 690,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110002008648
28191,ROYAL CREST DAIRY INC--GARAGE,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010305062
28641,G & S SERVICES CO- #06424,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001721101
32999,GENERAL SHALE - DENVER BRICK PLANT #60,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110022513289
