,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL
1891,KWAL-HOWELLS INC ( DBA KWAL PAINT INC),13,,http://echo.epa.gov/detailed-facility-report?fid=110000467192
2294,SHAMROCK FOODS SYSTEMS WAREHOUSE,13,,http://echo.epa.gov/detailed-facility-report?fid=110046303996
5191,JACKSON GAP RECYCLING CENTER,13,,http://echo.epa.gov/detailed-facility-report?fid=110054104214
6552,ARAPAHOE STATION,13,,http://echo.epa.gov/detailed-facility-report?fid=110000467129
6878,BONE YARD,13,,http://echo.epa.gov/detailed-facility-report?fid=110054120161
9774,LARSEN WAREHOUSING AND DISTRIBUTION,13,,http://echo.epa.gov/detailed-facility-report?fid=110032985223
30462,BOOT HILL AUTO SALES & SALVAGE,13,,http://echo.epa.gov/detailed-facility-report?fid=110046319961
38038,DENVER METAL RECYCLING,13,,http://echo.epa.gov/detailed-facility-report?fid=110054949561
45432,"BIOENERGY OF COLORADO II, LLC",13,,http://echo.epa.gov/detailed-facility-report?fid=110033644796
47207,DANIEL FELIX RITCHIE SCHOOL OF ENGINEERING AND COMPUTER SCIENCE,13,,http://echo.epa.gov/detailed-facility-report?fid=110060355477
56840,ENGLEWOOD MS4,13,,http://echo.epa.gov/detailed-facility-report?fid=110044271757
57379,BCT COLORADO,13,,http://echo.epa.gov/detailed-facility-report?fid=110069995985
58193,UPI PLATTE,13,,http://echo.epa.gov/detailed-facility-report?fid=110067438302
6818,U.S. MIX PRODUCTS COMPANY,12,,http://echo.epa.gov/detailed-facility-report?fid=110009559263
6829,LOHI APARTMENTS,12,,http://echo.epa.gov/detailed-facility-report?fid=110070031261
6831,UNION STATION NORTH WING OFFICE BUILDING,12,,http://echo.epa.gov/detailed-facility-report?fid=110056127007
8061,DENVER REEL & PALLET CO,12,,http://echo.epa.gov/detailed-facility-report?fid=110054121507
11623,COLORADO AUTO & PARTS,12,,http://echo.epa.gov/detailed-facility-report?fid=110002969440
14505,1800 LARIMER LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110031105685
18430,RMO INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110000466825
