,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL
9233,HERITAGE-CRYSTAL CLEAN LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110044804815
11666,LOWRY AIR FORCE BASE,12,,http://echo.epa.gov/detailed-facility-report?fid=110022513957
37241,TRU-VISION DBA CAMPUS CLEANERS,12,,http://echo.epa.gov/detailed-facility-report?fid=110009556701
47006,POWER ENGINEERING,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110054142067
5427,APP-UNIPATH LLC,4,,http://echo.epa.gov/detailed-facility-report?fid=110002970474
47632,ENGLEWOOD POST ACUTE AND REHABILITATION,4,,http://echo.epa.gov/detailed-facility-report?fid=110064377525
29150,DENVER PUBLIC SCHOOLS  VEHICLE MAINT.,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009560233
35526,COLORADO LABEL AND PACKAGING,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070431215
2927,RED CARPET CLNRS,3,,http://echo.epa.gov/detailed-facility-report?fid=110001428394
19778,PRESBYTERIAN ST LUKES,3,,http://echo.epa.gov/detailed-facility-report?fid=110002397629
25342,JUNIPER VILLAGE - THE SPEARLY CENTER,3,,http://echo.epa.gov/detailed-facility-report?fid=110064376955
35465,KAISER PERMANENTE-STAPLETON SUPPORT SERVICES,3,,http://echo.epa.gov/detailed-facility-report?fid=110002985253
49014,AUTUMN HEIGHTS,3,,http://echo.epa.gov/detailed-facility-report?fid=110064018254
30599,WURTH LOUIS & COMPANY,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110066945783
45161,UPSHER-SMITH LABORATORIES,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000887942
51553,ROCKY MOUNTAIN ORTHODONTICS,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110002963160
3424,SAFETY KLEEN CORP  ENGLEWOOD BRANCH,2,,http://echo.epa.gov/detailed-facility-report?fid=110000621480
12766,SHERWIN-WILLIAMS #4386,2,,http://echo.epa.gov/detailed-facility-report?fid=110002962633
18401,DENVER METAL FINISHING,2,,http://echo.epa.gov/detailed-facility-report?fid=110000466950
27031,MELY CLEANERS,2,,http://echo.epa.gov/detailed-facility-report?fid=110044929245
