,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL
246,KTI MAINTENANCE SHOP #2,12,,http://echo.epa.gov/detailed-facility-report?fid=110070801600
18595,KTI MAINTENANCE SHOP #1,12,,http://echo.epa.gov/detailed-facility-report?fid=110070801599
158,SOUTHERN FINISHING COMPANY,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110044995217
4746,SOUTHERN FINISHING,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000869837
25364,TAFF & FRYE COMPANY INC.,7,,http://echo.epa.gov/detailed-facility-report?fid=110070633684
5072,ALLEGHANY REGIONAL HOSPITAL,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110020682885
12690,MEC - PAINT SHOP,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070435369
25229,RELINE AMERICA INC,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110031258706
27369,US ARMY RADFORD ARMY AMMUNITION PLANT,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000601867
14594,WOLVERINE GASKET DIVISION - EAGLE-PICHER IND,6,,http://echo.epa.gov/detailed-facility-report?fid=110000343012
15032,WOLVERINE GASKET CO,6,,http://echo.epa.gov/detailed-facility-report?fid=110000343003
2841,ACCELLENT,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001906108
339,"PYROTECHNIQUE BY GRUCCI, INC.",5,,http://echo.epa.gov/detailed-facility-report?fid=110063175451
2003,VIRGINIA TECH,5,,http://echo.epa.gov/detailed-facility-report?fid=110064303980
33437,COPERION CORPORATION,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070206987
11447,"COMPLETE TOWING & RECOVERY, INC",4,,http://echo.epa.gov/detailed-facility-report?fid=110070633525
28137,ABB INCORPORATED,4,,http://echo.epa.gov/detailed-facility-report?fid=110008189655
29602,"LAKE REGION MEDICAL, INC.",4,,http://echo.epa.gov/detailed-facility-report?fid=110024259559
32616,JOY MINING MACHINERY,4,,http://echo.epa.gov/detailed-facility-report?fid=110000343405
7664,HAPCO/DIVISION OF KEARNEY NATIONAL INCORPORATED,3,,http://echo.epa.gov/detailed-facility-report?fid=110002031079
