,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL
9755,MINE NO. 1 JACOBS FORK LOADOUT,13,,http://echo.epa.gov/detailed-facility-report?fid=110069997339
27147,SEWELL R MINE,13,,http://echo.epa.gov/detailed-facility-report?fid=110069994920
16228,EDGEMONT CENTER INCORPORATED STP,12,,http://echo.epa.gov/detailed-facility-report?fid=110009768590
201,CALVARY BAPTIST CHURCH - POUND,11,,http://echo.epa.gov/detailed-facility-report?fid=110070596518
269,BETHEL BAPTIST CHURCH STP,11,,http://echo.epa.gov/detailed-facility-report?fid=110070603582
703,LEADERSHIP DEVELOPMENT CENTER SYSTEM 1 STP,11,,http://echo.epa.gov/detailed-facility-report?fid=110070598225
733,EVERSOLE RICHARD RESIDENCES STP,11,,http://echo.epa.gov/detailed-facility-report?fid=110070600096
2188,JUSTICE GEORGIE AND EMMIE JEAN RESIDENCES STP,11,,http://echo.epa.gov/detailed-facility-report?fid=110070601810
2865,LOCHER SILICA CORPORATION AND SMOKIN GUNS STP,11,,http://echo.epa.gov/detailed-facility-report?fid=110070600301
3461,ITMANN NO. 1 MINE,11,,http://echo.epa.gov/detailed-facility-report?fid=110069995623
5252,ISON PAUL R RESIDENCES STP,11,,http://echo.epa.gov/detailed-facility-report?fid=110070603936
6072,DEHART AND PAYNE DWELLING STP,11,,http://echo.epa.gov/detailed-facility-report?fid=110070601414
7268,HESS TESSA AND GARY RESIDENCES STP,11,,http://echo.epa.gov/detailed-facility-report?fid=110070600013
7596,DANIEL BOONE OFFICE COMPLEX SEWER PLANT,11,,http://echo.epa.gov/detailed-facility-report?fid=110070601311
12359,MEEKS MICHAEL RESIDENCES STP,11,,http://echo.epa.gov/detailed-facility-report?fid=110070598002
12558,BRASWELL BRAD AND MELANIE DUPLEX 1 STP,11,,http://echo.epa.gov/detailed-facility-report?fid=110070601787
14584,VANHUSS RESIDENCES STP,11,,http://echo.epa.gov/detailed-facility-report?fid=110070600505
14926,BLUE RIDGE DISCOVERY CENTER STP,11,,http://echo.epa.gov/detailed-facility-report?fid=110070599486
15122,MULLINS RESIDENCES STP,11,,http://echo.epa.gov/detailed-facility-report?fid=110070598045
15154,LANE RENTALS STP,11,,http://echo.epa.gov/detailed-facility-report?fid=110070598158
