REGISTRY_ID,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL
110012304648,DUBLIN SCRAP METAL INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110012304648
110024782591,EASTERN CONCRETE MATERIALS INC BROADWAY,12,,http://echo.epa.gov/detailed-facility-report?fid=110024782591
110070210793,ATLANTIC METAL INDUSTRIES,12,,http://echo.epa.gov/detailed-facility-report?fid=110070210793
110070213585,COUNTY CONCRETE CORP EAST ORANGE PLANT,11,,http://echo.epa.gov/detailed-facility-report?fid=110070213585
110070215556,TEXAS EASTERN TRANSMISSION,11,,http://echo.epa.gov/detailed-facility-report?fid=110070215556
110000570766,WASTEWATER TREATMENT PLANT  (TCPA ID NO. 1903),10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000570766
110070214017,BRUNSWICK HOT MIX T/A WELDON CONCRETE,10,,http://echo.epa.gov/detailed-facility-report?fid=110070214017
110070213921,METAL MANAGEMENT NORTHEAST INC,10,,http://echo.epa.gov/detailed-facility-report?fid=110070213921
110070222093,METAL MANAGEMENT NORTHEAST INC,10,,http://echo.epa.gov/detailed-facility-report?fid=110070222093
110041133163,PHILLIPS 66 CO BAYWAY REFINERY,10,,http://echo.epa.gov/detailed-facility-report?fid=110041133163
110060483267,UNITED AIRLINES INC,10,,http://echo.epa.gov/detailed-facility-report?fid=110060483267
110070213469,MENZIES AVIATION,10,,http://echo.epa.gov/detailed-facility-report?fid=110070213469
110029978479,PHILLIPS 66 PIPELINE TREMLEY POINT TERMINAL,10,,http://echo.epa.gov/detailed-facility-report?fid=110029978479
110035771297,KINDER MORGAN LINDEN TRANSLOAD TERMINAL LLC,10,,http://echo.epa.gov/detailed-facility-report?fid=110035771297
110009835036,GLOBE METALS INC,10,,http://echo.epa.gov/detailed-facility-report?fid=110009835036
110070219549,SIMS METAL MGNT CLAREMONT TERMINAL FACILITY,10,,http://echo.epa.gov/detailed-facility-report?fid=110070219549
110009722470,KINDER MORGAN BULK TERMINALS INC,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009722470
110000761293,PASSAIC VALLEY SEWER COMM,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000761293
110001538694,MITCHELL SUPREME FUEL COMPANY,9,,http://echo.epa.gov/detailed-facility-report?fid=110001538694
110070212315,INDUSTRIAL MACHINE & ENGINEERI,9,,http://echo.epa.gov/detailed-facility-report?fid=110070212315
