REGISTRY_ID,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL
110006477222,GOLDEN ERA PRODUCTIONS,12,,http://echo.epa.gov/detailed-facility-report?fid=110006477222
110021313826,DESERT HOSPITAL,3,,http://echo.epa.gov/detailed-facility-report?fid=110021313826
110002933522,PALM SPRING PLATING,2,,http://echo.epa.gov/detailed-facility-report?fid=110002933522
110065813258,BLACK & WHITE SWEEPING SERVICES LLC,0,,http://echo.epa.gov/detailed-facility-report?fid=110065813258
110055186686,DOWNTOWN SHELL,0,,http://echo.epa.gov/detailed-facility-report?fid=110055186686
110065399802,DICKS ALL AUTO REPAIR INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110065399802
110065020756,HOME GOODS 0635,0,,http://echo.epa.gov/detailed-facility-report?fid=110065020756
110065528842,TRAVEL CENTERS OF AMERICA,0,,http://echo.epa.gov/detailed-facility-report?fid=110065528842
110042163805,T0307,0,,http://echo.epa.gov/detailed-facility-report?fid=110042163805
110008278112,COACHELLA VALLEY WATER DISTRICT COACHELLA HEADQUARTERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110008278112
110009537545,HONDA AUTOS OF PALM SPRINGS,0,,http://echo.epa.gov/detailed-facility-report?fid=110009537545
110006476517,ONE HOUR MOTO PHOTO,0,,http://echo.epa.gov/detailed-facility-report?fid=110006476517
110070135043,WOODSPUR OPERATIONS LLC,0,,http://echo.epa.gov/detailed-facility-report?fid=110070135043
110066103709,NACHOS AUTO ELECTRIC,0,,http://echo.epa.gov/detailed-facility-report?fid=110066103709
110062906351,WALGREENS #9021,0,,http://echo.epa.gov/detailed-facility-report?fid=110062906351
110065574756,COUNTY OF RIVERSIDE FLEET SVCS,0,,http://echo.epa.gov/detailed-facility-report?fid=110065574756
110062905799,WALGREENS #9641,0,,http://echo.epa.gov/detailed-facility-report?fid=110062905799
110065820721,SHELL WINDENERGY,0,,http://echo.epa.gov/detailed-facility-report?fid=110065820721
110062908545,WALGREENS #5349,0,,http://echo.epa.gov/detailed-facility-report?fid=110062908545
110002679511,"HENDERSON EQUIPMENT SALES, INC",0,,http://echo.epa.gov/detailed-facility-report?fid=110002679511
