,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL
43647,PROAMPAC,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000363240
43530,TP AEROSPACE TECHNICS LLC,3,,http://echo.epa.gov/detailed-facility-report?fid=110005647853
110243,TRUCK'N ROLL LLC,3,,http://echo.epa.gov/detailed-facility-report?fid=110070594165
119769,TARGET #1918,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110031391777
83650,LOWES OF N KISSIMMEE FL #1652,2,,http://echo.epa.gov/detailed-facility-report?fid=110061228327
88440,"NAUTIQUE BOAT COMPANY, INC.",2,,http://echo.epa.gov/detailed-facility-report?fid=110020050193
127264,FLAGLER CONSTRUCTION EQUIPMENT,2,,http://echo.epa.gov/detailed-facility-report?fid=110016749786
72224,PERMA FIX OF ORLANDO,1,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000748344
68244,POLYNT COMPOSITES USA INC,1,,http://echo.epa.gov/detailed-facility-report?fid=110000363295
82895,LOWE'S OF LAKE NONA,1,,http://echo.epa.gov/detailed-facility-report?fid=110070064076
100345,AMAZON.COM SERVICES LLC - MCO1,1,,http://echo.epa.gov/detailed-facility-report?fid=110070431426
87272,DESIGN COMMUNICATIONS LTD,0,2.0,http://echo.epa.gov/detailed-facility-report?fid=110005277100
113173,BEST ENGINEERING SURFACE TECHNOLOGIES,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001738656
237,AUDIO EXCELLENCE,0,,http://echo.epa.gov/detailed-facility-report?fid=110005630424
555,BEE LINE USED AUTO PARTS,0,,http://echo.epa.gov/detailed-facility-report?fid=110012325509
601,BEST DEAL PAINT & BODY,0,,http://echo.epa.gov/detailed-facility-report?fid=110002519445
756,SAM'S CLUB #4828,0,,http://echo.epa.gov/detailed-facility-report?fid=110070119654
804,MIKES AUTO PAINTING,0,,http://echo.epa.gov/detailed-facility-report?fid=110007428131
1001,ALL CAR SHOP,0,,http://echo.epa.gov/detailed-facility-report?fid=110013302611
1357,HUNTER'S CREEK MIDDLE SCHOOL,0,,http://echo.epa.gov/detailed-facility-report?fid=110036562403
